Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3980025895
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
6000	-7.931517	274	10.853214	9.582470	0.328262	0.671738	0.797243	0.202757	0.076081	0.923919	
7000	-7.413757	63	6.439895	8.902662	0.154749	0.845251	0.970152	0.029848	0.015531	0.984469	
8000	-8.220484	270	9.700412	2.376597	0.382246	0.617754	--	--	0.011665	0.988335	
9000	-10.222468	411	19.855845	40.426346	0.496287	0.503713	0.543238	0.456762	0.207163	0.792837	
10000	-8.024152	485	8.614170	5.439524	0.337915	0.662085	--	--	0.015927	0.984073	
11000	-7.467615	369	7.544905	5.965659	0.264012	0.735988	--	--	0.026265	0.973735	
12000	-7.364117	278	11.038785	4.637952	0.352678	0.647322	0.996494	0.003506	0.028476	0.971524	
13000	-7.500776	484	5.938526	6.311117	0.233315	0.766685	0.965902	0.034098	0.022542	0.977458	
14000	-8.493108	60	17.598019	8.617391	0.466136	0.533864	0.935590	0.064410	0.109675	0.890325	
15000	-10.088165	67	0.600656	1.391250	0.002689	0.997311	0.997685	0.002315	0.000155	0.999845	
16000	-9.093239	383	21.531690	9.266625	0.473388	0.526612	0.783322	0.216678	0.178613	0.821387	
17000	-7.988875	233	3.911985	2.451354	0.100709	0.899291	0.991004	0.008996	0.004512	0.995488	
18000	-8.337515	157	9.648616	1.941606	0.564116	0.435884	--	--	0.029628	0.970372	
19000	-7.874008	222	6.516056	10.177740	0.208163	0.791837	0.758825	0.241175	0.008516	0.991484	
20000	-8.210623	490	7.537009	2.459481	0.382686	0.617314	0.886409	0.113591	0.026482	0.973518	
21000	-7.984865	486	7.101204	9.508401	0.255105	0.744895	--	--	0.029936	0.970064	
22000	-8.412753	462	9.664989	12.909945	0.325373	0.674627	--	--	0.066606	0.933394	
23000	-7.376669	63	5.950972	3.262919	0.150607	0.849393	0.992810	0.007190	0.011997	0.988003	
24000	-9.466399	385	11.045052	1.204565	0.482425	0.517575	--	--	0.072594	0.927406	
25000	-9.125146	184	18.594703	18.984379	0.488485	0.511515	0.805392	0.194608	0.241218	0.758782	
26000	-7.474552	59	10.496850	9.032504	0.351338	0.648662	0.883376	0.116624	0.036560	0.963440	
27000	-8.157244	432	7.316463	10.737921	0.269371	0.730629	--	--	0.016084	0.983916	
28000	-7.983741	312	9.646576	5.512697	0.296258	0.703742	0.853979	0.146021	0.055556	0.944444	
29000	-8.095396	420	13.626958	11.920586	0.373511	0.626489	0.931054	0.068946	0.083783	0.916217	
30000	-8.088144	264	7.454843	2.205457	0.319945	0.680055	--	--	0.045037	0.954963	
31000	-8.802958	348	21.911193	19.601151	0.472349	0.527651	--	--	0.103536	0.896464	
32000	-7.696685	390	6.348942	7.666288	0.289321	0.710679	0.954049	0.045951	0.032685	0.967315	
33000	-8.530449	357	5.677244	16.676473	0.166065	0.833935	--	--	0.017788	0.982212	
