Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1107730964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
57000	-9.033172	332	15.521384	4.456828	0.403782	0.596218	--	--	0.019451	0.980549	
58000	-8.524650	394	12.201758	19.408121	0.402422	0.597578	--	--	0.065600	0.934400	
59000	-9.708045	171	24.817296	37.646852	0.497646	0.502354	0.827656	0.172344	0.308758	0.691242	
60000	-7.630358	107	5.512593	6.858596	0.224407	0.775593	0.827034	0.172966	0.014010	0.985990	
61000	-8.848506	17	2.839963	6.610111	0.042461	0.957539	--	--	0.003343	0.996657	
62000	-7.881185	374	6.584189	2.864368	0.337542	0.662458	0.996620	0.003380	0.022575	0.977425	
63000	-8.244938	470	4.415912	5.563367	0.122632	0.877368	--	--	0.018106	0.981894	
64000	-10.098053	399	5.657758	0.316036	0.655483	0.344517	--	--	0.019844	0.980156	
65000	-7.884703	283	2.134483	2.500894	0.030659	0.969341	--	--	0.003174	0.996826	
66000	-8.422587	325	4.061543	3.946002	0.200325	0.799675	--	--	0.003902	0.996098	
67000	-7.458645	497	10.368925	7.777407	0.381664	0.618336	--	--	0.018633	0.981367	
68000	-8.047088	159	11.292340	6.067538	0.371207	0.628793	0.962000	0.038000	0.047473	0.952527	
69000	-9.337173	480	2.999761	13.956208	0.129567	0.870433	0.883358	0.116642	0.000921	0.999079	
70000	-7.268275	145	1.847532	3.139341	0.029031	0.970969	0.765377	0.234623	0.001422	0.998578	
71000	-7.828589	242	5.722032	10.126245	0.187294	0.812706	0.845616	0.154384	0.010652	0.989348	
72000	-8.696033	481	1.786552	1.796334	0.064263	0.935737	0.994572	0.005428	0.000604	0.999396	
73000	-8.140058	155	9.645426	5.065884	0.306644	0.693356	0.987004	0.012996	0.009862	0.990138	
74000	-7.829226	225	10.765478	4.556775	0.404366	0.595634	0.986115	0.013885	0.034381	0.965619	
75000	-8.789133	65	14.712934	17.973553	0.432493	0.567507	0.915563	0.084437	0.234633	0.765367	
76000	-7.842996	227	7.090015	6.651780	0.264645	0.735355	0.795667	0.204333	0.009568	0.990432	
77000	-7.775975	130	9.157147	3.676492	0.364640	0.635360	--	--	0.024381	0.975619	
78000	-8.087767	248	4.440455	5.496832	0.119161	0.880839	--	--	0.022074	0.977926	
79000	-8.345787	76	2.402935	2.987822	0.041646	0.958354	--	--	0.000939	0.999061	
80000	-8.231513	194	11.458530	17.378441	0.373243	0.626757	--	--	0.080781	0.919219	
81000	-9.113542	315	2.468808	7.069360	0.063866	0.936134	--	--	0.003136	0.996864	
82000	-7.239320	18	7.450836	7.786545	0.180694	0.819306	0.743615	0.256385	0.013134	0.986866	
83000	-7.555860	72	4.819663	5.024992	0.207400	0.792600	--	--	0.011871	0.988129	
84000	-8.048457	158	8.358721	12.542576	0.364694	0.635306	--	--	0.041403	0.958597	
85000	-8.695180	122	1.490146	5.018150	0.020813	0.979187	--	--	0.002651	0.997349	
86000	-8.024246	499	9.109084	6.839384	0.319812	0.680188	--	--	0.032267	0.967733	
87000	-7.359758	112	5.692096	6.095079	0.186016	0.813984	0.990694	0.009306	0.006976	0.993024	
88000	-8.524221	350	12.516719	18.458151	0.455326	0.544674	0.876944	0.123056	0.039946	0.960054	
89000	-8.423872	92	12.295912	5.683695	0.264705	0.735295	0.990382	0.009618	0.092725	0.907275	
90000	-8.323182	47	18.982739	10.973316	0.435902	0.564098	--	--	0.086598	0.913402	
91000	-7.712439	431	11.596433	9.495709	0.351637	0.648363	0.969673	0.030327	0.032407	0.967593	
92000	-8.437217	318	18.198188	12.843283	0.404411	0.595589	0.692124	0.307876	0.187916	0.812084	
93000	-8.987328	158	17.839126	5.814242	0.454812	0.545188	--	--	0.121336	0.878664	
94000	-7.844431	234	4.185416	5.305666	0.144248	0.855752	--	--	0.003411	0.996589	
95000	-7.853990	332	2.393903	4.228099	0.046197	0.953803	--	--	0.000411	0.999589	
96000	-7.742315	493	5.309501	2.066556	0.228696	0.771304	0.990546	0.009454	0.017450	0.982550	
97000	-8.257219	98	12.664600	10.479338	0.413252	0.586748	0.948822	0.051178	0.063494	0.936506	
98000	-8.358246	91	5.001542	4.635781	0.247960	0.752040	--	--	0.036925	0.963075	
99000	-9.025541	293	4.672492	0.843280	0.399771	0.600229	0.999587	0.000413	0.004148	0.995852	
100000	-8.128441	251	6.461248	6.728163	0.224793	0.775207	--	--	0.010085	0.989915	
101000	-8.998514	139	15.663568	25.824716	0.480900	0.519100	--	--	0.136809	0.863191	
102000	-7.474167	241	4.275221	6.728063	0.130635	0.869365	0.981135	0.018865	0.023194	0.976806	
103000	-9.236574	386	0.402724	5.134517	0.001012	0.998988	--	--	0.000065	0.999935	
104000	-7.858237	266	7.459245	4.898218	0.317247	0.682753	0.920071	0.079929	0.043236	0.956764	
105000	-8.212625	409	5.223321	1.383121	0.341902	0.658098	0.997045	0.002955	0.022065	0.977935	
106000	-7.840978	425	8.211290	7.487573	0.374984	0.625016	--	--	0.043930	0.956070	
107000	-8.381425	489	4.846611	1.352596	0.317897	0.682103	0.999183	0.000817	0.007273	0.992727	
108000	-7.755939	118	9.285608	5.497619	0.347929	0.652071	0.967290	0.032710	0.019692	0.980308	
109000	-7.500635	319	7.983732	7.240481	0.350118	0.649882	0.988415	0.011585	0.042619	0.957381	
110000	-7.850821	57	2.123740	6.233641	0.020173	0.979827	--	--	0.002959	0.997041	
111000	-8.106912	109	4.502848	1.892834	0.200895	0.799105	0.889171	0.110829	0.013835	0.986165	
112000	-7.822517	435	7.792118	7.464206	0.326726	0.673274	0.971275	0.028725	0.032698	0.967302	
113000	-8.767952	383	10.445732	17.765571	0.425874	0.574126	0.557948	0.442052	0.073332	0.926668	
114000	-7.749426	439	4.308794	6.188841	0.133758	0.866242	0.972184	0.027816	0.012389	0.987611	
115000	-7.601242	484	6.863268	3.950686	0.263530	0.736470	0.987088	0.012912	0.027743	0.972257	
116000	-7.474563	178	3.419609	4.782337	0.131620	0.868380	0.902302	0.097698	0.002826	0.997174	
117000	-9.312014	119	4.907563	14.392624	0.280698	0.719302	0.758590	0.241410	0.012110	0.987890	
118000	-7.607100	271	5.841075	7.085785	0.200572	0.799428	--	--	0.014568	0.985432	
119000	-8.641415	268	6.301366	1.993427	0.308760	0.691240	--	--	0.005050	0.994950	
120000	-7.844593	420	11.681273	7.209523	0.344380	0.655620	0.970153	0.029847	0.060422	0.939578	
121000	-8.377006	4	12.436680	15.813282	0.384207	0.615793	--	--	0.091593	0.908407	
122000	-8.090379	443	6.291317	2.269829	0.391877	0.608123	--	--	0.038100	0.961900	
