Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            371628164
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
58000	-7.626284	307	4.266813	4.447757	0.154589	0.845411	--	--	0.008893	0.991107	
59000	-7.520066	302	7.228452	7.288986	0.210526	0.789474	--	--	0.009933	0.990067	
60000	-8.764089	230	13.991225	12.579426	0.437596	0.562404	0.876703	0.123297	0.121252	0.878748	
61000	-7.856801	241	1.481780	3.489264	0.017363	0.982637	0.986922	0.013078	0.002826	0.997174	
62000	-9.518811	263	0.967741	7.760624	0.011006	0.988994	0.588330	0.411670	0.000484	0.999516	
63000	-7.938655	334	7.263585	4.106463	0.241195	0.758805	--	--	0.011220	0.988780	
64000	-8.594166	418	13.898650	10.353600	0.375106	0.624894	0.875529	0.124471	0.115624	0.884376	
65000	-8.013671	248	6.663828	6.736094	0.209804	0.790196	--	--	0.046145	0.953855	
66000	-8.252857	347	3.892802	3.356108	0.156388	0.843612	0.830981	0.169019	0.007036	0.992964	
67000	-8.252316	478	8.240231	2.561957	0.304504	0.695496	--	--	0.025208	0.974792	
68000	-7.954817	455	12.294029	9.913196	0.425133	0.574867	--	--	0.044368	0.955632	
69000	-8.459156	435	15.503576	7.158726	0.448610	0.551390	0.977783	0.022217	0.099948	0.900052	
70000	-8.386715	27	10.964007	12.648232	0.439931	0.560069	0.842515	0.157485	0.046281	0.953719	
71000	-7.651079	281	6.551303	3.900481	0.155654	0.844346	0.987819	0.012181	0.015824	0.984176	
72000	-8.544227	16	11.648396	10.713213	0.426682	0.573318	--	--	0.040987	0.959013	
73000	-7.981073	237	9.280972	8.577773	0.271163	0.728837	0.882607	0.117393	0.030482	0.969518	
74000	-8.899820	353	5.987517	1.560549	0.330999	0.669001	0.998204	0.001796	0.015682	0.984318	
75000	-10.395877	54	1.077032	0.603827	0.017754	0.982246	--	--	0.000434	0.999566	
76000	-9.583616	40	2.169190	14.978950	0.086363	0.913637	0.482644	0.517356	0.000904	0.999096	
77000	-8.762222	206	5.312789	1.500715	0.307471	0.692529	0.998184	0.001816	0.006067	0.993933	
78000	-7.136908	400	9.335768	5.009763	0.204866	0.795134	0.994626	0.005374	0.025344	0.974656	
79000	-8.250068	129	1.233819	4.664621	0.011234	0.988766	0.947386	0.052614	0.000537	0.999463	
80000	-7.671859	156	8.652326	3.801102	0.311297	0.688703	0.998216	0.001784	0.045508	0.954492	
81000	-9.012307	198	21.273729	8.546617	0.475337	0.524663	0.974653	0.025347	0.133262	0.866738	
82000	-9.517767	436	3.243950	0.713600	0.365555	0.634445	--	--	0.004844	0.995156	
83000	-8.102948	390	8.631467	11.681909	0.383182	0.616818	0.921610	0.078390	0.060919	0.939081	
84000	-8.132811	312	8.832273	10.526865	0.297314	0.702686	0.734217	0.265783	0.053815	0.946185	
85000	-9.193153	397	4.122896	1.195637	0.218209	0.781791	0.998436	0.001564	0.004279	0.995721	
86000	-8.515503	340	4.249036	5.017843	0.179398	0.820602	0.846061	0.153939	0.005705	0.994295	
87000	-8.046060	56	1.193387	5.462580	0.009297	0.990703	0.944286	0.055714	0.001158	0.998842	
