Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
817	0.326805	183	0.726776	5.000000	817	0.326805	0.400000	0.380437	
842	0.274347	158	0.841772	5.000000	842	0.274347	0.364000	0.378089	
835	0.305389	165	0.824242	5.000000	835	0.305389	0.391000	0.379703	
851	0.310223	149	0.805369	5.000000	851	0.310223	0.384000	0.380180	
836	0.312201	164	0.829268	5.000000	836	0.312201	0.397000	0.381862	
841	0.298454	159	0.830189	5.000000	841	0.298454	0.383000	0.381965	
841	0.297265	159	0.792453	5.000000	841	0.297265	0.376000	0.381468	
810	0.311111	190	0.831579	5.000000	810	0.311111	0.410000	0.383663	
848	0.312500	152	0.796053	5.000000	848	0.312500	0.386000	0.383830	
845	0.280473	155	0.819355	5.000000	845	0.280473	0.364000	0.382508	
847	0.266824	153	0.784314	5.000000	847	0.266824	0.346000	0.380226	
800	0.302500	200	0.800000	5.000000	800	0.302500	0.402000	0.381507	
825	0.313939	175	0.782857	5.000000	825	0.313939	0.396000	0.382312	
826	0.329298	174	0.816092	5.000000	826	0.329298	0.414000	0.383980	
836	0.333732	164	0.737805	5.000000	836	0.333732	0.400000	0.384781	
841	0.317479	159	0.811321	5.000000	841	0.317479	0.396000	0.385315	
809	0.302843	191	0.821990	5.000000	809	0.302843	0.402000	0.386073	
828	0.315217	172	0.779070	5.000000	828	0.315217	0.395000	0.386461	
823	0.317132	177	0.779661	5.000000	823	0.317132	0.399000	0.386984	
816	0.292892	184	0.793478	5.000000	816	0.292892	0.385000	0.386905	
826	0.317191	174	0.798851	5.000000	826	0.317191	0.401000	0.387447	
830	0.296386	170	0.817647	5.000000	830	0.296386	0.385000	0.387356	
833	0.348139	167	0.814371	5.000000	833	0.348139	0.426000	0.388736	
841	0.349584	159	0.792453	5.000000	841	0.349584	0.420000	0.389814	
844	0.331754	156	0.858974	5.000000	844	0.331754	0.414000	0.390620	
