Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
827	0.390568	173	0.849711	4.243967	827	0.390568	0.470000	0.428262	
815	0.364417	185	0.778378	4.243967	815	0.364417	0.441000	0.430081	
823	0.345079	177	0.836158	4.243967	823	0.345079	0.432000	0.430321	
833	0.308523	167	0.850299	4.243967	833	0.308523	0.399000	0.426841	
840	0.347619	160	0.850000	4.243967	840	0.347619	0.428000	0.426957	
830	0.342169	170	0.823529	4.243967	830	0.342169	0.424000	0.426688	
871	0.350172	129	0.860465	4.243967	871	0.350172	0.416000	0.425798	
859	0.310827	141	0.723404	4.243967	859	0.310827	0.369000	0.421429	
842	0.381235	158	0.765823	4.243967	842	0.381235	0.442000	0.422898	
814	0.379607	186	0.854839	4.243967	814	0.379607	0.468000	0.425905	
850	0.321176	150	0.886667	4.243967	850	0.321176	0.406000	0.424661	
821	0.394641	179	0.787709	4.243967	821	0.394641	0.465000	0.427034	
843	0.327402	157	0.789809	4.243967	843	0.327402	0.400000	0.425532	
833	0.331333	167	0.784431	4.243967	833	0.331333	0.407000	0.424557	
842	0.333729	158	0.848101	4.243967	842	0.333729	0.415000	0.424079	
842	0.338480	158	0.905063	4.243967	842	0.338480	0.428000	0.424266	
829	0.365501	171	0.859649	4.243967	829	0.365501	0.450000	0.425435	
810	0.359259	190	0.847368	4.243967	810	0.359259	0.452000	0.426590	
818	0.391198	182	0.873626	4.243967	818	0.391198	0.479000	0.428774	
832	0.412260	168	0.821429	4.243967	832	0.412260	0.481000	0.430863	
834	0.321343	166	0.819277	5.000000	834	0.321343	0.404000	0.429830	
839	0.321812	161	0.838509	5.000000	839	0.321812	0.405000	0.428910	
826	0.314770	174	0.781609	5.000000	826	0.314770	0.396000	0.427735	
841	0.248514	159	0.842767	5.000000	841	0.248514	0.343000	0.424813	
840	0.330952	160	0.856250	5.000000	840	0.330952	0.415000	0.424486	
847	0.275089	153	0.771242	5.000000	847	0.275089	0.351000	0.422115	
861	0.295006	139	0.820144	5.000000	861	0.295006	0.368000	0.420424	
830	0.318072	170	0.782353	5.000000	830	0.318072	0.397000	0.419715	
830	0.283133	170	0.852941	5.000000	830	0.283133	0.380000	0.418547	
830	0.295181	170	0.841176	5.000000	830	0.295181	0.388000	0.417674	
814	0.304668	186	0.790323	5.000000	814	0.304668	0.395000	0.417044	
828	0.317633	172	0.813953	5.000000	828	0.317633	0.403000	0.416664	
835	0.326946	165	0.860606	5.000000	835	0.326946	0.415000	0.416621	
826	0.328087	174	0.833333	5.000000	826	0.328087	0.416000	0.416605	
835	0.291018	165	0.806061	5.000000	835	0.291018	0.376000	0.415590	
817	0.287638	183	0.819672	5.000000	817	0.287638	0.385000	0.414844	
825	0.320000	175	0.794286	5.000000	825	0.320000	0.403000	0.414562	
802	0.317955	198	0.838384	5.000000	802	0.317955	0.421000	0.414711	
819	0.326007	181	0.861878	5.000000	819	0.326007	0.423000	0.414900	
815	0.304294	185	0.816216	5.000000	815	0.304294	0.399000	0.414546	
831	0.322503	169	0.863905	5.000000	831	0.322503	0.414000	0.414534	
837	0.341697	163	0.785276	5.000000	837	0.341697	0.414000	0.414523	
816	0.337010	184	0.788043	5.000000	816	0.337010	0.420000	0.414637	
822	0.295620	178	0.820225	5.000000	822	0.295620	0.389000	0.414114	
830	0.314458	170	0.805882	5.000000	830	0.314458	0.398000	0.413792	
832	0.324519	168	0.821429	5.000000	832	0.324519	0.408000	0.413678	
839	0.286055	161	0.795031	5.000000	839	0.286055	0.368000	0.412800	
827	0.296252	173	0.815029	5.000000	827	0.296252	0.386000	0.412294	
829	0.311218	171	0.853801	5.000000	829	0.311218	0.404000	0.412141	
846	0.308511	154	0.831169	5.000000	846	0.308511	0.389000	0.411720	
