Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_fossilised_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            999630549
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_fossilised_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	FNode	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - uniform 0.00 100.00 
        qGD - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	Fossil Node01 FNode D 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	Node01 P(D)	Node01 P(G)	
68000	-8.954536	162	15.292704	16.919396	0.449323	0.550677	1.000000	0.000000	
69000	-9.315172	446	25.805730	31.120493	0.486817	0.513183	1.000000	0.000000	
70000	-8.436768	202	7.590785	1.665767	0.577659	0.422341	1.000000	0.000000	
71000	-10.992021	356	53.340809	46.575755	0.499997	0.500003	1.000000	0.000000	
72000	-10.999399	487	63.451111	76.341330	0.499999	0.500001	1.000000	0.000000	
73000	-7.616280	241	10.200205	4.279487	0.329519	0.670481	1.000000	0.000000	
74000	-7.851952	367	13.460543	8.972440	0.402001	0.597999	1.000000	0.000000	
75000	-8.473969	425	6.870414	2.337958	0.363092	0.636908	1.000000	0.000000	
76000	-9.610543	3	12.738813	30.841732	0.437603	0.562397	1.000000	0.000000	
77000	-8.771169	150	10.939166	3.590537	0.324351	0.675649	1.000000	0.000000	
78000	-8.925641	162	12.050766	16.675263	0.420796	0.579204	1.000000	0.000000	
79000	-10.621834	131	56.369850	59.348167	0.499397	0.500603	1.000000	0.000000	
80000	-8.690237	214	23.047660	20.600598	0.471253	0.528747	1.000000	0.000000	
81000	-9.578981	460	32.833131	14.544462	0.490534	0.509466	1.000000	0.000000	
82000	-7.836948	187	10.900147	8.989173	0.313066	0.686934	1.000000	0.000000	
83000	-8.912184	85	18.091871	17.995725	0.446141	0.553859	1.000000	0.000000	
84000	-7.691445	156	3.551389	2.951583	0.095901	0.904099	1.000000	0.000000	
85000	-7.811398	483	9.054419	6.837840	0.262991	0.737009	1.000000	0.000000	
86000	-7.815969	186	6.087035	8.860760	0.248928	0.751072	1.000000	0.000000	
87000	-10.020603	278	54.908225	42.525599	0.499852	0.500148	1.000000	0.000000	
88000	-9.619870	6	23.908626	38.713583	0.489668	0.510332	1.000000	0.000000	
89000	-8.661545	238	14.100689	8.519917	0.418981	0.581019	1.000000	0.000000	
90000	-8.139084	322	12.588405	6.647142	0.401186	0.598814	1.000000	0.000000	
91000	-11.037610	1	93.837354	92.723794	0.499999	0.500001	1.000000	0.000000	
92000	-9.610410	340	23.027332	29.501775	0.496515	0.503485	1.000000	0.000000	
93000	-9.745654	46	45.644879	29.732510	0.493681	0.506319	1.000000	0.000000	
94000	-7.602287	219	6.063251	3.774425	0.283909	0.716091	1.000000	0.000000	
95000	-10.472706	31	43.591146	32.757295	0.499568	0.500432	1.000000	0.000000	
96000	-9.175872	336	0.434090	3.232313	0.001612	0.998388	1.000000	0.000000	
97000	-9.712848	348	20.526380	8.291890	0.442917	0.557083	1.000000	0.000000	
98000	-11.453254	369	68.329854	98.621494	0.499999	0.500001	1.000000	0.000000	
99000	-9.521762	204	22.898295	27.128088	0.485688	0.514312	1.000000	0.000000	
100000	-9.596198	231	19.650960	24.383213	0.496599	0.503401	1.000000	0.000000	
101000	-8.488858	254	12.369864	7.965199	0.416546	0.583454	1.000000	0.000000	
102000	-10.233380	317	38.283259	35.880246	0.499449	0.500551	1.000000	0.000000	
103000	-10.717502	85	42.109734	65.776441	0.499641	0.500359	1.000000	0.000000	
104000	-8.576667	111	19.591536	20.515861	0.468029	0.531971	1.000000	0.000000	
105000	-9.351175	217	9.085211	20.007700	0.386203	0.613797	1.000000	0.000000	
106000	-8.432146	466	10.855329	14.982945	0.404598	0.595402	1.000000	0.000000	
107000	-8.117266	379	14.002039	12.712755	0.417140	0.582860	1.000000	0.000000	
108000	-10.782901	74	18.088012	47.642293	0.495664	0.504336	1.000000	0.000000	
109000	-8.273304	446	18.479043	11.341924	0.433842	0.566158	1.000000	0.000000	
110000	-9.578703	455	24.536428	37.162261	0.496489	0.503511	1.000000	0.000000	
111000	-8.153344	85	11.955059	6.422391	0.330292	0.669708	1.000000	0.000000	
112000	-8.554021	169	7.889886	15.596651	0.399976	0.600024	1.000000	0.000000	
113000	-11.180013	415	3.213767	19.234275	0.218343	0.781657	1.000000	0.000000	
114000	-10.492895	421	54.565951	61.976700	0.499989	0.500011	1.000000	0.000000	
115000	-9.703397	340	27.194053	24.400973	0.496833	0.503167	1.000000	0.000000	
116000	-8.834091	116	14.006292	20.392153	0.418634	0.581366	1.000000	0.000000	
117000	-9.466101	378	34.463352	30.972432	0.493580	0.506420	1.000000	0.000000	
118000	-10.945978	163	47.351197	68.587252	0.499936	0.500064	1.000000	0.000000	
119000	-8.129359	131	11.047375	12.658989	0.327870	0.672130	1.000000	0.000000	
120000	-8.471617	310	1.359992	9.001862	0.014896	0.985104	1.000000	0.000000	
121000	-11.231078	280	13.997483	44.089009	0.479341	0.520659	1.000000	0.000000	
122000	-10.110635	30	41.739804	42.481078	0.499700	0.500300	1.000000	0.000000	
123000	-8.010910	428	6.946458	14.789551	0.256114	0.743886	1.000000	0.000000	
124000	-9.349317	59	26.974664	26.646564	0.491932	0.508068	1.000000	0.000000	
125000	-10.635287	52	28.062378	63.832818	0.499745	0.500255	1.000000	0.000000	
126000	-8.786286	195	12.089953	19.402962	0.399273	0.600727	1.000000	0.000000	
127000	-9.926798	434	14.996967	29.591622	0.485838	0.514162	1.000000	0.000000	
128000	-8.261066	297	7.372857	1.781256	0.462305	0.537695	1.000000	0.000000	
129000	-11.066102	345	15.097997	44.658631	0.494096	0.505904	1.000000	0.000000	
130000	-9.053188	105	13.545151	18.143900	0.409567	0.590433	1.000000	0.000000	
131000	-8.023439	102	12.420739	5.312103	0.358537	0.641463	1.000000	0.000000	
