Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            777135391
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
232000	-42.050882	414	1.963184	3.157271	3.408383	4.088281	0.750297	0.162750	0.071454	0.015499	
233000	-44.019155	463	3.231309	4.102785	2.996374	2.085808	0.589572	0.106108	0.257904	0.046416	
234000	-43.583358	482	0.430984	0.355075	3.828022	4.310422	0.686247	0.311964	0.001230	0.000559	
235000	-40.798215	314	1.405873	3.629434	1.981678	3.522850	0.279643	0.245794	0.252568	0.221996	
236000	-41.611379	458	2.431791	1.159511	1.847685	1.940478	0.879071	0.096887	0.021656	0.002387	
237000	-41.916485	463	0.775528	2.968883	1.896616	3.245202	0.456441	0.254353	0.185716	0.103490	
238000	-39.785925	43	0.939563	4.213026	3.944207	3.620563	0.454440	0.174043	0.268635	0.102882	
239000	-43.548113	26	1.996074	3.203708	6.453310	6.137453	0.478388	0.320574	0.120374	0.080664	
240000	-40.797885	312	1.157616	3.533424	5.021503	4.464742	0.549004	0.244637	0.142750	0.063610	
241000	-43.202622	16	0.528629	1.925287	1.686312	2.467855	0.472581	0.361948	0.093703	0.071767	
242000	-42.902039	236	0.638601	3.210545	5.257176	3.464231	0.439520	0.210419	0.236728	0.113333	
243000	-42.011147	197	0.327998	4.469554	3.019915	1.462994	0.179076	0.015172	0.742816	0.062936	
244000	-39.919679	246	0.919405	2.201633	3.304849	2.641362	0.562803	0.226595	0.150149	0.060453	
245000	-41.026382	333	1.040578	1.696894	2.404924	1.693898	0.856354	0.075899	0.062231	0.005516	
246000	-42.430816	218	0.813395	4.389152	1.567032	1.583716	0.352903	0.112359	0.405601	0.129137	
247000	-42.213406	490	1.510956	2.691437	3.248690	2.986889	0.478990	0.290176	0.143749	0.087085	
248000	-39.904926	187	0.640114	2.972601	2.121351	2.385178	0.569836	0.146742	0.225383	0.058040	
249000	-43.163387	301	2.229695	9.208702	2.392864	1.288752	0.478095	0.016314	0.488908	0.016683	
250000	-41.010570	124	0.259402	3.520552	1.642248	1.280430	0.222780	0.031464	0.653464	0.092292	
251000	-40.009987	58	2.135904	3.036813	3.431496	2.161365	0.741506	0.092405	0.147685	0.018404	
252000	-44.596738	480	1.413328	6.986133	3.656481	3.063816	0.405232	0.107391	0.385275	0.102102	
253000	-41.308878	232	0.845044	1.248596	2.678800	0.607578	0.946813	0.017243	0.035302	0.000643	
254000	-42.604698	142	0.699372	3.743739	1.700105	3.039581	0.242620	0.225637	0.275514	0.256228	
255000	-42.603091	376	0.813056	4.984564	2.522292	2.317237	0.378373	0.052346	0.500095	0.069186	
256000	-43.983855	191	0.231312	1.320976	3.719916	4.715828	0.470058	0.370578	0.089112	0.070253	
257000	-40.478442	31	1.419659	2.931447	4.459890	0.785600	0.794735	0.022573	0.177647	0.005046	
258000	-42.445992	110	1.182590	4.842761	3.836422	2.068277	0.432729	0.063849	0.438693	0.064729	
259000	-45.664533	285	0.643059	6.226856	5.311718	0.136982	0.325724	0.000289	0.673389	0.000598	
260000	-42.938812	235	2.237544	4.566378	0.706595	2.872527	0.279037	0.354107	0.161679	0.205177	
261000	-40.377194	13	1.045832	1.665291	2.713953	2.378863	0.781268	0.155034	0.053151	0.010547	
262000	-43.330948	91	0.527218	3.656238	2.017156	3.574589	0.287004	0.176359	0.332389	0.204248	
263000	-43.488845	113	1.062732	0.422838	4.129577	2.423813	0.855927	0.141530	0.002182	0.000361	
264000	-40.495811	394	0.881988	0.892745	2.749212	0.316670	0.985211	0.001666	0.013101	0.000022	
265000	-41.822551	48	0.658065	2.888914	3.663686	4.090469	0.595087	0.216496	0.138156	0.050262	
266000	-41.420399	482	1.251110	1.485900	3.935463	2.483704	0.829209	0.133818	0.031835	0.005138	
267000	-47.912770	207	4.503530	7.840651	3.338800	4.699407	0.381315	0.196782	0.278289	0.143614	
268000	-40.813654	452	1.105269	2.142910	2.344960	2.762539	0.573479	0.222596	0.146905	0.057021	
269000	-43.244872	290	1.115683	3.941532	3.772901	5.307838	0.259632	0.243087	0.256823	0.240458	
270000	-41.859891	42	0.626779	4.446678	2.826831	3.843039	0.257749	0.146727	0.379493	0.216031	
271000	-43.051054	440	0.384367	2.931057	5.451452	0.789717	0.654173	0.022718	0.312266	0.010844	
272000	-47.689386	131	1.572088	5.359021	9.047039	3.965138	0.361090	0.185240	0.299848	0.153822	
273000	-41.751489	386	1.143022	1.717190	4.331245	4.746470	0.550579	0.357851	0.055499	0.036072	
274000	-41.855496	153	0.592962	3.606198	3.418600	0.770135	0.466585	0.008657	0.515200	0.009558	
275000	-42.725764	361	2.100393	4.702061	1.235588	2.873119	0.387099	0.232719	0.237437	0.142744	
276000	-40.823322	204	1.744314	4.082839	1.829553	3.269090	0.425573	0.265307	0.190414	0.118706	
277000	-45.533098	227	0.261765	4.824300	4.062244	4.804108	0.140355	0.066681	0.537570	0.255394	
278000	-40.882325	451	0.525141	0.562276	1.689817	2.287436	0.666307	0.325769	0.005322	0.002602	
279000	-41.484599	187	1.528999	7.487685	2.669320	2.240007	0.461549	0.096635	0.365327	0.076489	
280000	-42.923712	43	0.556151	4.644716	7.586171	2.027369	0.383411	0.070747	0.460813	0.085029	
281000	-41.434934	498	0.835552	2.871261	3.018987	2.236788	0.716775	0.105272	0.155165	0.022789	
282000	-44.315569	485	1.895606	7.246437	0.749022	0.859826	0.456457	0.049734	0.445291	0.048518	
283000	-40.277554	29	1.185595	2.372227	2.939964	2.666157	0.685600	0.193691	0.094119	0.026590	
284000	-39.445400	312	1.213346	2.912360	3.655899	2.813768	0.694799	0.166313	0.112064	0.026824	
285000	-41.350088	451	1.358337	1.973928	4.180001	0.677229	0.893306	0.016164	0.088921	0.001609	
286000	-42.850877	288	0.329603	3.874086	3.315465	0.933314	0.246112	0.006166	0.729447	0.018275	
287000	-41.432539	346	1.124338	3.744041	2.714284	1.212417	0.655269	0.027309	0.304722	0.012700	
288000	-42.347765	155	1.321119	5.328237	2.377211	3.328745	0.282098	0.215385	0.284953	0.217564	
289000	-46.258167	37	3.194604	8.720344	4.243826	2.727248	0.374156	0.117474	0.386896	0.121474	
290000	-43.163256	456	1.515640	2.789132	2.135395	5.678445	0.339513	0.386265	0.128279	0.145943	
291000	-41.233308	161	1.372048	1.853914	4.545283	5.079319	0.523394	0.355926	0.071832	0.048848	
292000	-41.768920	432	1.608362	4.309344	2.514322	0.943391	0.482516	0.017358	0.482758	0.017367	
293000	-41.067183	352	0.679760	0.550007	4.841317	2.097498	0.910654	0.085862	0.003184	0.000300	
294000	-42.519840	236	0.540165	1.438586	3.764644	3.984354	0.601634	0.340709	0.036811	0.020846	
295000	-41.005160	235	0.614090	3.195728	3.773979	2.296177	0.456830	0.093711	0.372954	0.076505	
296000	-42.307545	62	1.039108	3.551148	3.474553	3.271043	0.347537	0.196969	0.290725	0.164770	
297000	-41.494578	146	0.564879	3.348638	1.836037	3.686953	0.236340	0.252335	0.247294	0.264031	
298000	-43.764398	120	2.760849	3.820953	1.679971	3.261658	0.499827	0.282737	0.138877	0.078559	
299000	-42.534797	186	1.201404	2.206820	4.643966	3.564463	0.645904	0.250157	0.074922	0.029017	
300000	-40.274895	13	1.071195	3.546573	2.509973	1.077529	0.728300	0.028998	0.233408	0.009293	
301000	-43.869916	97	2.125557	9.792143	1.417810	0.247147	0.475566	0.000665	0.523038	0.000731	
302000	-41.902169	433	1.370890	0.889452	3.612751	2.455308	0.760614	0.214364	0.019521	0.005502	
303000	-44.911475	2	2.724759	0.552337	1.742905	2.717243	0.647320	0.341041	0.007623	0.004016	
304000	-43.142087	147	1.785365	0.046140	2.255535	1.215038	0.929574	0.070375	0.000047	0.000004	
305000	-41.434260	333	1.526389	2.541097	2.342196	2.434102	0.715162	0.140033	0.121094	0.023711	
306000	-40.959120	68	1.428030	6.041155	4.578544	2.423599	0.665608	0.036392	0.282551	0.015449	
307000	-42.521167	38	0.520157	4.187976	5.408223	4.761428	0.258928	0.143006	0.385277	0.212789	
308000	-40.511640	31	1.811560	5.290109	3.668185	1.343259	0.592425	0.042528	0.340597	0.024450	
309000	-38.964098	43	1.320486	4.045083	3.184515	2.580292	0.570376	0.121262	0.254298	0.054064	
310000	-40.259442	201	0.646007	4.902267	4.207948	1.479723	0.474784	0.035659	0.455358	0.034200	
311000	-39.945481	440	1.155925	0.548259	2.167668	2.324370	0.781409	0.210573	0.006316	0.001702	
312000	-40.119493	310	1.626339	4.100111	2.146720	1.894789	0.533704	0.113928	0.290381	0.061987	
313000	-41.831536	23	1.006886	4.192663	3.832005	1.580707	0.436545	0.036057	0.487160	0.040238	
314000	-43.527620	182	1.074116	7.002417	1.516999	0.380581	0.505682	0.001587	0.491191	0.001541	
315000	-42.630979	246	1.522547	0.313518	4.428993	0.440468	0.984964	0.011771	0.003226	0.000039	
316000	-43.677685	367	0.939276	2.413748	2.326863	4.798457	0.367408	0.401698	0.110300	0.120594	
317000	-41.408453	190	0.309801	4.411790	2.567950	2.750622	0.119957	0.052072	0.577351	0.250620	
318000	-41.890369	394	1.558835	4.779036	4.316292	4.348550	0.482861	0.208226	0.215836	0.093076	
319000	-41.569185	147	0.590350	2.285634	0.760051	3.238677	0.214615	0.631299	0.039093	0.114993	
320000	-43.499250	67	1.084096	0.812826	4.999901	4.178147	0.580264	0.385934	0.020300	0.013502	
321000	-41.820782	440	2.563946	1.772972	2.778579	3.358978	0.616015	0.287119	0.066071	0.030795	
322000	-43.012921	423	2.253297	1.240921	2.120098	3.450910	0.693077	0.276656	0.021632	0.008635	
323000	-40.999986	45	1.690145	1.618760	3.314390	2.501584	0.677748	0.254299	0.049413	0.018540	
324000	-40.960477	257	1.738164	1.926531	2.058271	2.202308	0.701801	0.198046	0.078110	0.022043	
325000	-42.383913	475	1.986409	2.192588	3.405550	3.169974	0.644560	0.223830	0.097687	0.033923	
326000	-41.114852	120	1.049222	0.324639	2.050377	0.692641	0.985581	0.013049	0.001352	0.000018	
327000	-45.183175	240	1.854994	2.135042	3.251186	1.695665	0.665731	0.153400	0.146997	0.033872	
328000	-41.923724	235	1.030013	6.247408	1.685014	0.721737	0.414367	0.009943	0.562200	0.013490	
329000	-39.832567	68	1.387499	1.166290	2.891124	0.625567	0.991138	0.001923	0.006926	0.000013	
330000	-40.705244	69	0.796426	3.765973	3.140606	4.348125	0.313334	0.225200	0.268494	0.192972	
331000	-41.807167	196	2.474341	4.009060	3.205682	0.421981	0.701895	0.003370	0.293326	0.001409	
332000	-41.138475	340	1.543883	2.230610	3.816043	0.288345	0.874360	0.002127	0.123214	0.000300	
333000	-41.390457	13	2.027257	4.829643	3.009941	1.299271	0.636498	0.037532	0.307818	0.018151	
334000	-41.683263	431	1.563562	5.356073	4.439134	1.555887	0.505538	0.060364	0.387793	0.046305	
335000	-41.529677	299	0.899184	3.358240	3.403482	1.951923	0.713036	0.067084	0.200972	0.018908	
336000	-42.729859	218	2.210543	2.083778	2.326285	1.388729	0.776088	0.101601	0.108152	0.014159	
337000	-41.303240	7	2.159643	3.918481	2.234035	2.115781	0.480952	0.164465	0.264229	0.090355	
338000	-41.106495	312	2.058875	4.924873	4.589587	2.923540	0.562873	0.136339	0.242137	0.058650	
339000	-40.971720	319	0.804101	0.380817	3.355032	2.692837	0.832807	0.164991	0.001838	0.000364	
340000	-41.449749	371	2.831980	5.470722	2.391367	0.794181	0.628543	0.017102	0.344969	0.009386	
341000	-47.260292	253	3.347187	7.105549	5.859603	5.422298	0.266967	0.227569	0.272866	0.232598	
342000	-41.283267	161	0.750993	4.968415	4.992715	2.660484	0.355271	0.117853	0.395633	0.131243	
343000	-43.581336	16	0.401365	5.757751	4.111914	1.398588	0.122749	0.006777	0.824930	0.045544	
344000	-45.849489	165	0.365775	2.535877	0.751783	1.060632	0.317443	0.116385	0.414283	0.151889	
345000	-40.456665	183	1.385715	4.323369	1.469904	3.630989	0.319536	0.323632	0.177280	0.179552	
346000	-40.198901	481	1.052188	5.615607	2.495930	2.449488	0.489778	0.079902	0.369964	0.060356	
347000	-42.471484	474	0.703275	7.597769	2.948663	0.897156	0.339850	0.007205	0.639390	0.013555	
348000	-43.071383	104	0.849645	4.533190	1.790589	2.550707	0.415826	0.150072	0.318981	0.115121	
349000	-42.617971	206	1.600197	0.905972	1.817727	2.746468	0.605522	0.363664	0.019252	0.011562	
350000	-42.821664	17	1.874146	2.113926	1.304978	3.461339	0.479066	0.423616	0.051648	0.045670	
351000	-43.950706	197	2.428811	2.796326	1.149320	0.729117	0.779565	0.034455	0.178108	0.007872	
352000	-41.026107	451	1.268815	1.562950	0.854471	2.082952	0.465011	0.477601	0.028310	0.029077	
353000	-41.832622	374	1.059782	0.762514	3.897906	1.851474	0.892430	0.095513	0.010891	0.001166	
354000	-44.654689	175	1.408204	3.917241	0.995697	0.826299	0.639303	0.021488	0.328178	0.011031	
355000	-41.799826	440	0.867684	2.662401	6.068371	4.401905	0.477092	0.323978	0.118477	0.080454	
356000	-40.063461	246	0.827831	2.853407	3.719060	2.216209	0.514137	0.152931	0.256604	0.076328	
357000	-41.104527	339	0.750451	0.896139	4.094630	0.978439	0.948215	0.031294	0.019837	0.000655	
358000	-40.605475	379	0.937879	3.292271	3.685532	1.630354	0.468242	0.084897	0.378275	0.068585	
359000	-44.142756	286	1.027984	8.358480	1.743002	1.946042	0.399758	0.110021	0.384420	0.105800	
360000	-42.161103	370	1.177517	3.334664	4.621601	3.371020	0.513823	0.224951	0.181685	0.079541	
361000	-42.653864	147	3.277256	4.335533	3.744421	2.472781	0.536304	0.151727	0.243172	0.068797	
362000	-41.822824	182	1.367109	1.259826	3.995160	3.161684	0.750532	0.222868	0.020509	0.006090	
363000	-40.761689	27	1.236555	0.827633	2.498379	2.035620	0.830387	0.154110	0.013076	0.002427	
364000	-47.735035	95	4.054882	5.302867	5.750634	4.729091	0.318705	0.247607	0.244068	0.189620	
365000	-41.257382	481	0.494700	2.814830	2.872005	4.270830	0.517094	0.218862	0.185522	0.078523	
366000	-46.220456	154	3.362678	6.691636	5.815840	3.820618	0.310982	0.203921	0.292980	0.192117	
367000	-41.987562	47	0.556658	1.719576	4.991562	2.619543	0.597193	0.208790	0.143757	0.050260	
368000	-43.298407	421	0.495132	0.878140	5.529087	3.792849	0.643302	0.332190	0.016162	0.008346	
369000	-42.472273	251	2.038343	1.757792	1.772725	2.643740	0.520463	0.390581	0.050819	0.038137	
370000	-45.310197	383	2.461199	7.108955	5.946023	2.798021	0.341794	0.142336	0.364202	0.151667	
371000	-43.029722	268	1.063975	2.646612	2.455458	2.855389	0.674760	0.207043	0.090445	0.027752	
372000	-41.059443	235	0.719861	5.045540	1.889928	3.125730	0.266681	0.125778	0.412832	0.194709	
373000	-40.752006	374	0.585482	1.558053	3.007545	1.074453	0.908733	0.028924	0.060420	0.001923	
374000	-42.192566	421	0.897173	1.515538	4.539697	4.002799	0.609847	0.319852	0.046115	0.024186	
375000	-40.747375	69	0.850931	3.766660	4.759169	3.193425	0.362057	0.189472	0.294404	0.154067	
376000	-41.891231	298	1.882851	5.291922	3.275307	1.273539	0.591423	0.037637	0.348746	0.022194	
377000	-44.093249	332	0.332100	3.050294	0.764905	1.709540	0.137525	0.113031	0.411353	0.338090	
378000	-41.103486	137	0.806063	0.625434	2.488496	2.373732	0.788700	0.199593	0.009343	0.002364	
379000	-44.737043	456	0.536018	5.906592	0.429460	2.174755	0.062678	0.205028	0.171452	0.560842	
380000	-42.278196	55	1.867171	6.906626	2.460084	0.728091	0.492117	0.002202	0.503429	0.002252	
381000	-42.939480	192	1.241284	1.874696	3.512794	1.300659	0.820735	0.057889	0.113380	0.007997	
382000	-44.328626	182	2.079314	2.127823	5.971850	0.787950	0.899082	0.018309	0.080961	0.001649	
383000	-47.571543	463	0.855767	8.365446	7.907068	6.513433	0.206675	0.165715	0.348321	0.279289	
384000	-41.298380	120	1.456413	0.805461	2.806140	3.066798	0.751969	0.238895	0.006934	0.002203	
385000	-42.841659	226	3.492166	5.892041	1.877052	1.951622	0.523406	0.068098	0.361467	0.047029	
386000	-42.051223	415	0.913744	0.774454	3.331256	2.579878	0.736746	0.245123	0.013604	0.004526	
387000	-40.639855	307	1.879140	3.334220	3.031187	2.907376	0.569075	0.182775	0.187825	0.060325	
388000	-42.602125	35	1.398878	4.250536	4.841161	1.296444	0.436569	0.064501	0.434705	0.064225	
389000	-42.310686	474	2.223958	2.120348	2.845595	3.877876	0.618818	0.291489	0.060972	0.028720	
390000	-41.543380	61	1.286018	1.821126	2.396451	2.972886	0.589794	0.295431	0.076470	0.038304	
391000	-45.129833	56	2.544566	7.726513	3.456055	3.564843	0.282231	0.200806	0.302053	0.214909	
392000	-41.415596	163	1.615737	0.713255	2.593796	2.172914	0.836673	0.152898	0.008817	0.001611	
393000	-40.918548	201	0.779705	3.603389	5.446941	2.025218	0.594010	0.090610	0.273639	0.041741	
394000	-43.584902	45	3.445150	7.006384	3.051164	2.173470	0.427995	0.136076	0.330767	0.105163	
395000	-42.281039	136	2.161195	3.558794	2.449105	3.338324	0.492529	0.228590	0.190478	0.088404	
396000	-43.014029	356	0.915659	2.990519	3.627856	2.509919	0.363204	0.175095	0.311522	0.150180	
397000	-42.099085	339	0.270664	2.234135	3.375720	1.113819	0.562260	0.024036	0.396743	0.016961	
398000	-40.534788	245	0.889276	3.086237	4.014634	2.331539	0.606691	0.140763	0.204986	0.047560	
399000	-43.355768	30	0.476112	0.472523	5.410438	2.063685	0.806634	0.187392	0.004847	0.001126	
400000	-42.388520	218	1.039013	0.726457	4.490381	1.555102	0.881456	0.103946	0.013058	0.001540	
401000	-43.037819	175	1.098839	1.198646	1.621355	1.830434	0.823256	0.142287	0.029379	0.005078	
402000	-45.837621	238	1.137801	0.945354	5.662508	2.190126	0.673169	0.269268	0.041117	0.016447	
403000	-41.959528	349	0.432783	3.683181	3.573889	1.321915	0.295630	0.015567	0.654347	0.034456	
404000	-42.844302	246	0.777783	8.143732	2.706675	1.397134	0.320885	0.047279	0.550697	0.081139	
405000	-43.282398	42	1.602315	1.278021	2.028670	4.063472	0.544584	0.398574	0.032821	0.024021	
406000	-41.526137	305	1.721083	2.538676	2.834592	2.437027	0.794686	0.097355	0.096176	0.011782	
407000	-42.091434	155	1.309608	3.489681	2.492666	4.245478	0.329522	0.299486	0.194353	0.176638	
408000	-40.153892	404	0.976090	3.573024	3.011741	2.981049	0.620989	0.155828	0.178413	0.044770	
409000	-41.622620	431	2.428417	3.492998	3.357953	1.333103	0.684931	0.059354	0.235322	0.020392	
410000	-40.074841	201	1.691132	2.696951	2.951649	3.057919	0.662669	0.184120	0.119898	0.033313	
411000	-41.613565	257	1.128165	1.218419	4.480519	3.616209	0.662369	0.297908	0.027400	0.012323	
412000	-43.717070	44	0.593080	1.562978	1.505067	2.102332	0.542672	0.279836	0.117105	0.060387	
413000	-40.914627	451	0.951004	3.508981	1.747974	1.310868	0.593379	0.111298	0.248678	0.046644	
414000	-44.542096	423	3.179073	2.642572	1.103024	2.646479	0.578865	0.279834	0.095253	0.046047	
415000	-43.147563	391	0.447456	3.849684	4.827065	2.800311	0.336782	0.134431	0.377930	0.150856	
416000	-47.552523	366	0.731922	5.781389	8.153810	1.281481	0.359223	0.026141	0.572941	0.041694	
417000	-42.258155	481	1.493654	5.285558	3.463071	5.712199	0.404808	0.237240	0.225686	0.132265	
418000	-43.709700	146	1.854055	1.129300	4.420733	0.925661	0.928745	0.036106	0.033834	0.001315	
419000	-40.393108	90	1.172235	0.867930	3.643956	2.320336	0.720927	0.247677	0.023368	0.008028	
420000	-41.031165	327	0.424721	3.573644	1.715475	3.871249	0.089492	0.110037	0.359024	0.441446	
421000	-45.954907	192	4.055968	6.697536	3.164248	2.131274	0.465094	0.098779	0.359727	0.076400	
422000	-46.607293	418	2.659290	0.603497	1.042565	1.689822	0.708917	0.285230	0.004174	0.001679	
423000	-41.879141	255	0.726584	4.612493	3.238398	0.469603	0.515128	0.004113	0.476951	0.003808	
424000	-45.169651	152	0.790168	3.075515	6.715614	8.473044	0.381882	0.330124	0.154465	0.133530	
425000	-43.475681	204	0.623004	0.797577	6.179731	1.382800	0.892189	0.088290	0.017763	0.001758	
426000	-43.013629	146	1.435724	1.715918	0.998865	1.518519	0.572339	0.337208	0.056918	0.033535	
427000	-41.034724	374	1.776673	1.676568	1.951532	1.402344	0.885170	0.053213	0.058123	0.003494	
428000	-40.602595	312	1.750422	2.489804	3.697915	0.501191	0.897579	0.006589	0.095133	0.000698	
429000	-44.826530	245	2.765195	2.887743	0.474143	2.734472	0.194224	0.620277	0.044234	0.141265	
430000	-42.869784	448	1.273604	0.704368	1.888246	0.565769	0.977989	0.009221	0.012670	0.000119	
431000	-42.680631	232	1.297529	5.919624	2.179374	3.762904	0.352548	0.199327	0.286270	0.161855	
432000	-42.977756	473	0.948063	3.059848	5.613220	5.789717	0.360502	0.300296	0.185053	0.154148	
433000	-42.232084	357	0.888352	3.109045	1.084451	3.456415	0.221586	0.397285	0.136463	0.244666	
434000	-43.230852	4	1.218294	1.336047	4.252264	1.033852	0.879696	0.055659	0.060799	0.003847	
435000	-45.240202	224	0.079770	3.092691	7.138217	4.311039	0.016667	0.012069	0.563338	0.407926	
436000	-41.426829	396	1.869182	2.602789	3.970058	2.795460	0.684835	0.168022	0.118154	0.028989	
437000	-42.266889	39	0.913484	5.966199	1.774391	2.927408	0.277133	0.190900	0.314990	0.216977	
438000	-43.109769	405	0.488801	4.897451	5.283409	3.387021	0.144998	0.058397	0.567889	0.228716	
439000	-42.342789	157	1.923419	4.193420	2.191216	2.652042	0.391973	0.206860	0.262588	0.138578	
440000	-41.372454	359	0.433372	6.235276	2.883418	0.056180	0.199827	0.000012	0.800113	0.000048	
441000	-39.766259	204	1.390387	4.169544	2.269833	1.913929	0.568648	0.099035	0.283025	0.049291	
442000	-42.707343	256	1.815393	7.148777	3.225546	2.227386	0.472668	0.079122	0.383940	0.064270	
443000	-41.887348	359	3.174506	4.894756	2.582059	3.260462	0.470523	0.199743	0.231471	0.098263	
444000	-38.157914	43	1.007659	2.753185	1.987166	1.047244	0.802571	0.027997	0.163721	0.005711	
445000	-44.675022	428	0.544570	2.577262	2.561707	1.058250	0.360908	0.030508	0.561149	0.047435	
446000	-41.565127	379	1.051061	2.271307	0.718359	1.767330	0.297080	0.498495	0.076336	0.128090	
447000	-40.517462	97	1.457628	1.850320	1.303961	2.397720	0.638490	0.284011	0.053639	0.023860	
448000	-40.594665	340	1.024076	3.555724	1.777873	3.421459	0.439530	0.253414	0.194763	0.112292	
449000	-43.015559	29	0.531447	1.970097	1.664767	5.323180	0.409887	0.471431	0.055197	0.063485	
450000	-40.961311	69	1.242115	3.665478	5.002274	2.459557	0.445170	0.173239	0.274694	0.106898	
451000	-40.770764	230	0.446711	5.083689	1.846428	2.230834	0.302601	0.061599	0.528263	0.107536	
452000	-40.226252	147	0.835352	1.653037	3.888113	2.615966	0.715144	0.222239	0.047772	0.014846	
453000	-39.750294	43	2.020656	4.190675	1.562679	1.542415	0.636157	0.069271	0.265646	0.028926	
454000	-42.036252	414	2.127290	3.240174	4.847701	3.101257	0.807880	0.100467	0.081516	0.010137	
455000	-41.536279	42	0.543997	5.320732	3.366261	1.949474	0.261666	0.047741	0.584035	0.106558	
456000	-41.319815	458	2.597712	8.437434	2.078239	1.512143	0.532170	0.029736	0.414911	0.023184	
457000	-40.483734	147	1.116997	5.174663	3.555155	2.063180	0.454577	0.090945	0.378711	0.075767	
458000	-41.981374	39	1.635809	1.021248	1.722667	2.582508	0.600770	0.362150	0.023135	0.013946	
459000	-41.615860	161	2.574544	4.538245	3.386019	1.929788	0.538507	0.113824	0.287005	0.060664	
460000	-41.521214	26	2.245118	2.393237	3.343252	2.157632	0.736517	0.143801	0.100132	0.019550	
461000	-42.184677	23	1.974199	4.394559	4.539715	3.239226	0.461273	0.150575	0.292629	0.095524	
462000	-41.139706	312	1.147690	1.623100	0.740605	1.250518	0.716343	0.245001	0.028805	0.009852	
463000	-41.621657	478	0.509418	2.212088	1.882781	2.367500	0.573225	0.190253	0.177582	0.058939	
464000	-41.670795	300	1.169489	1.838451	3.033691	3.616114	0.524865	0.307634	0.105604	0.061897	
465000	-41.270702	226	1.615347	4.704474	3.102831	3.479397	0.459276	0.174006	0.265955	0.100762	
466000	-41.916382	340	0.347407	1.900104	2.710662	3.924113	0.530925	0.279925	0.123851	0.065299	
467000	-44.672956	190	2.383685	3.613627	0.458529	1.259073	0.317820	0.371760	0.143069	0.167351	
468000	-38.751388	43	0.859285	2.501887	2.199218	0.155147	0.853608	0.000454	0.145860	0.000078	
469000	-41.005366	26	0.624488	2.088188	2.712891	2.527432	0.659323	0.191828	0.115302	0.033547	
470000	-45.367077	175	3.756753	7.380945	2.823519	2.588417	0.438139	0.108201	0.363813	0.089846	
471000	-38.118042	43	0.942191	3.211367	2.453030	0.580989	0.755867	0.006631	0.235436	0.002066	
472000	-43.811772	471	1.743415	1.589761	1.888015	3.972155	0.641338	0.302332	0.038283	0.018047	
473000	-41.886957	198	1.558822	7.146188	4.027092	3.927641	0.311014	0.128334	0.396885	0.163767	
474000	-44.296065	23	1.368293	2.416556	0.849561	6.303060	0.133629	0.703332	0.026031	0.137009	
475000	-44.552345	416	0.814501	3.253238	0.941710	1.025619	0.582610	0.034688	0.361197	0.021505	
476000	-40.919167	31	1.913585	4.572607	1.605143	0.262784	0.678259	0.001429	0.319639	0.000673	
477000	-43.586192	490	0.954087	7.145734	3.653058	3.689333	0.190451	0.135249	0.394293	0.280008	
478000	-41.802310	359	1.332792	6.424077	5.339737	2.529862	0.401423	0.086616	0.421100	0.090862	
479000	-41.308140	359	2.545877	7.690966	2.531830	0.741366	0.521622	0.007814	0.463620	0.006945	
480000	-42.972294	278	1.973595	3.678192	3.371956	0.505774	0.739121	0.004477	0.254858	0.001544	
481000	-43.148589	382	2.225248	4.499898	2.207102	4.421310	0.265585	0.278627	0.222433	0.233355	
482000	-40.977527	138	0.881630	1.600399	4.103981	3.083339	0.644639	0.250301	0.075676	0.029384	
483000	-39.786454	97	1.361796	4.096813	1.963978	1.345451	0.618117	0.044919	0.314135	0.022828	
484000	-41.079378	485	1.636409	4.908487	2.172260	2.636338	0.443928	0.143764	0.311447	0.100861	
485000	-43.216976	409	0.396138	3.846622	0.787209	1.372836	0.194955	0.147541	0.374263	0.283241	
486000	-40.100696	185	1.256927	4.529621	2.366891	2.279152	0.443977	0.118431	0.345445	0.092147	
487000	-46.524079	279	1.934969	11.501303	3.733032	2.014837	0.414363	0.047859	0.482095	0.055682	
488000	-41.529487	232	1.060685	1.202992	3.360927	4.130924	0.650079	0.318448	0.021125	0.010348	
489000	-42.861920	60	1.881558	0.069379	2.662440	4.143747	0.666271	0.333614	0.000076	0.000038	
