Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            777135391
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
61000	-41.058828	447	1.276316	2.714775	2.336448	2.294641	0.533159	0.195819	0.198220	0.072802	
62000	-44.300732	356	2.035899	3.555191	2.874811	1.252165	0.517963	0.074414	0.356417	0.051205	
63000	-42.540504	218	1.616944	4.077841	1.376413	1.921230	0.405759	0.227717	0.234769	0.131755	
64000	-41.113053	69	1.491637	0.373155	3.216042	3.127446	0.654937	0.338243	0.004497	0.002323	
65000	-41.596967	130	1.162597	2.327109	2.730454	1.609781	0.741157	0.102009	0.137859	0.018974	
66000	-41.160810	45	1.383982	2.128427	4.093274	3.640950	0.560306	0.314885	0.079903	0.044905	
67000	-42.445004	466	0.881253	1.112578	3.460749	0.825648	0.960799	0.014130	0.024707	0.000363	
68000	-40.763520	137	1.492024	1.370342	2.582396	0.082905	0.941542	0.000212	0.058233	0.000013	
69000	-45.296030	166	1.800366	2.783977	1.568372	5.981350	0.305993	0.467276	0.089720	0.137010	
70000	-41.115039	371	1.348750	2.437920	1.356066	0.363074	0.811683	0.006144	0.180804	0.001369	
71000	-42.659316	75	1.853643	5.204437	4.395983	1.425321	0.573320	0.027489	0.380926	0.018265	
72000	-45.014144	219	0.539679	5.247840	2.411190	4.530054	0.134469	0.120535	0.392853	0.352143	
73000	-43.520449	192	0.826303	0.968110	1.805297	3.343364	0.550178	0.417300	0.018494	0.014028	
74000	-43.539034	492	1.452466	5.107068	0.942774	2.205771	0.299894	0.242038	0.253485	0.204582	
75000	-39.815819	58	1.573402	1.895285	3.303195	2.532282	0.794156	0.134133	0.061349	0.010362	
76000	-43.054223	423	3.061564	2.458812	3.484566	2.117799	0.779459	0.097057	0.109811	0.013673	
77000	-42.491534	189	2.209782	3.518929	5.810581	2.550753	0.583725	0.157991	0.203268	0.055017	
78000	-43.079892	88	1.994337	1.911333	3.341985	1.458553	0.757061	0.124558	0.101656	0.016725	
79000	-41.440935	159	0.769369	0.781478	1.845247	2.634011	0.771776	0.217797	0.008132	0.002295	
80000	-41.022467	58	0.851631	0.557413	2.822711	2.552356	0.846403	0.147972	0.004788	0.000837	
81000	-44.246845	489	0.144606	4.425151	4.819832	5.280785	0.046741	0.023642	0.617354	0.312264	
82000	-42.211065	479	2.445971	0.866949	2.719914	0.859582	0.966956	0.018740	0.014032	0.000272	
83000	-38.572601	43	1.044957	0.556334	2.311824	2.231934	0.842928	0.151905	0.004378	0.000789	
84000	-40.464471	201	0.520889	6.576370	2.500155	1.040032	0.357367	0.011966	0.610235	0.020432	
85000	-45.086999	296	1.222328	5.041201	2.194968	0.073186	0.479477	0.000056	0.520406	0.000061	
86000	-42.451451	312	1.505906	6.610082	5.423572	1.244695	0.542329	0.028401	0.407909	0.021361	
87000	-42.966826	452	0.895271	6.773840	3.214262	4.048838	0.260653	0.134237	0.399412	0.205698	
88000	-42.758789	249	1.427363	6.275884	2.651574	3.234696	0.284417	0.178434	0.330072	0.207077	
89000	-40.845191	185	0.674834	3.675948	2.534464	4.145507	0.314561	0.204695	0.291231	0.189514	
90000	-41.318527	47	0.412737	2.437181	3.720876	2.832652	0.388244	0.162480	0.316726	0.132550	
91000	-45.089764	357	3.723044	4.672452	3.917409	0.533989	0.620311	0.007311	0.368039	0.004338	
92000	-40.947075	147	2.023599	2.512079	2.509439	0.421429	0.858924	0.004622	0.135724	0.000730	
93000	-40.504623	201	1.210926	3.647761	1.295960	2.778370	0.516796	0.217893	0.186625	0.078686	
94000	-41.870003	163	0.244924	2.667515	2.500070	1.753927	0.312540	0.034692	0.587550	0.065218	
95000	-42.808884	13	1.562774	4.919035	4.581261	3.594691	0.475290	0.184172	0.245434	0.095104	
96000	-43.551428	199	2.554239	8.289919	3.589517	2.246384	0.404547	0.079636	0.430977	0.084839	
97000	-40.664031	187	0.529419	4.613351	3.921088	2.264986	0.424912	0.086381	0.406142	0.082565	
98000	-40.479792	208	1.196585	2.322151	4.412796	3.849719	0.552351	0.265280	0.123200	0.059170	
99000	-39.140854	43	2.090082	0.670634	3.334089	0.893424	0.969691	0.021778	0.008343	0.000187	
100000	-44.940159	210	1.148185	0.768783	2.976102	7.135304	0.525090	0.460751	0.007542	0.006617	
101000	-42.349474	319	1.959661	5.353025	2.946486	3.678069	0.443184	0.171358	0.277978	0.107481	
102000	-41.732740	203	1.498849	7.288758	3.045742	1.035678	0.470141	0.014794	0.499353	0.015713	
103000	-42.038477	129	0.707603	0.608194	3.771373	1.039808	0.960335	0.032332	0.007094	0.000239	
104000	-42.877443	194	1.265855	3.838696	1.747117	4.099392	0.216589	0.276929	0.222278	0.284203	
105000	-41.703926	314	2.241952	5.310348	1.643630	0.541572	0.482884	0.007944	0.500931	0.008241	
106000	-44.249873	466	0.101792	2.125263	1.916216	0.507524	0.126774	0.000567	0.868776	0.003884	
107000	-44.303805	453	0.292309	4.133150	0.812544	4.239440	0.030070	0.089193	0.222062	0.658674	
108000	-46.907278	121	2.107939	10.129235	4.171699	4.321352	0.227751	0.191920	0.314939	0.265391	
109000	-44.676802	466	1.334960	5.855687	7.454766	3.680820	0.331327	0.158046	0.345716	0.164910	
110000	-41.014118	246	1.699303	2.670329	1.605892	2.922425	0.427438	0.345402	0.125637	0.101524	
111000	-43.236361	427	2.344344	0.542937	3.088208	4.288152	0.632488	0.362135	0.003420	0.001958	
112000	-43.577051	155	2.125507	2.394411	4.746783	4.662677	0.448777	0.347131	0.115078	0.089014	
113000	-42.242792	340	2.561155	3.011236	1.777948	3.714132	0.482227	0.316681	0.121381	0.079711	
