Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_fossilised_run3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1584410474
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_fossilised_run3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	FNode	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - uniform 0.00 100.00 
        qGD - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	Fossil Node01 FNode D 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	Node01 P(D)	Node01 P(G)	
6000	-7.773403	115	7.327860	5.056086	0.291447	0.708553	1.000000	0.000000	
7000	-8.797775	365	1.241045	4.571034	0.018336	0.981664	1.000000	0.000000	
8000	-10.000974	91	26.539536	31.261006	0.498557	0.501443	1.000000	0.000000	
9000	-9.151665	408	20.400432	22.548217	0.478564	0.521436	1.000000	0.000000	
10000	-7.485167	465	8.665876	5.741409	0.333486	0.666514	1.000000	0.000000	
11000	-8.947617	28	20.963153	13.943693	0.456843	0.543157	1.000000	0.000000	
12000	-11.091700	431	69.005032	58.251997	0.499968	0.500032	1.000000	0.000000	
13000	-10.144372	246	18.010850	2.805098	0.514576	0.485424	1.000000	0.000000	
14000	-9.180504	279	15.848798	13.255128	0.466923	0.533077	1.000000	0.000000	
15000	-7.661864	170	7.574509	6.513149	0.266258	0.733742	1.000000	0.000000	
16000	-7.793810	391	8.919793	5.899760	0.399564	0.600436	1.000000	0.000000	
17000	-8.455166	18	5.342839	1.346289	0.174703	0.825297	1.000000	0.000000	
18000	-8.694004	482	19.800907	9.651996	0.454285	0.545715	1.000000	0.000000	
19000	-8.774233	353	10.397757	16.644958	0.352963	0.647037	1.000000	0.000000	
20000	-8.097115	291	5.048271	7.751876	0.169353	0.830647	1.000000	0.000000	
21000	-7.994741	68	10.386773	5.955769	0.342873	0.657127	1.000000	0.000000	
22000	-7.804511	430	9.790153	7.369081	0.422987	0.577013	1.000000	0.000000	
23000	-11.173766	302	39.031864	87.830611	0.499865	0.500135	1.000000	0.000000	
24000	-10.671855	306	42.384506	73.267634	0.499313	0.500687	1.000000	0.000000	
25000	-9.405326	378	33.481657	20.827964	0.488346	0.511654	1.000000	0.000000	
26000	-9.892813	218	23.112173	7.717118	0.447320	0.552680	1.000000	0.000000	
27000	-10.629408	141	39.972374	17.343171	0.469925	0.530075	1.000000	0.000000	
28000	-9.475003	342	22.022096	42.840308	0.498163	0.501837	1.000000	0.000000	
29000	-9.139115	90	20.400823	22.038273	0.482311	0.517689	1.000000	0.000000	
30000	-9.976879	59	30.243219	11.443106	0.485041	0.514959	1.000000	0.000000	
31000	-8.752809	133	11.170026	17.228840	0.389269	0.610731	1.000000	0.000000	
32000	-9.268152	480	27.234837	34.373638	0.496015	0.503985	1.000000	0.000000	
33000	-9.344310	330	24.807872	18.942172	0.481306	0.518694	1.000000	0.000000	
34000	-8.080689	262	4.790217	9.531492	0.219083	0.780917	1.000000	0.000000	
35000	-8.139871	375	9.993094	4.312081	0.291015	0.708985	1.000000	0.000000	
36000	-7.645292	58	4.822490	5.697084	0.136491	0.863509	1.000000	0.000000	
37000	-7.873940	252	10.673905	5.282181	0.387579	0.612421	1.000000	0.000000	
38000	-9.506801	291	30.596984	24.285068	0.493422	0.506578	1.000000	0.000000	
39000	-9.450371	155	14.604476	26.374142	0.433844	0.566156	1.000000	0.000000	
40000	-10.537142	225	13.341442	38.283524	0.493335	0.506665	1.000000	0.000000	
41000	-8.617389	334	13.812167	19.424388	0.413883	0.586117	1.000000	0.000000	
42000	-8.751105	96	25.739885	18.253470	0.478751	0.521249	1.000000	0.000000	
43000	-9.061448	265	19.183282	29.812202	0.489141	0.510859	1.000000	0.000000	
44000	-8.503824	423	13.714338	9.310320	0.398785	0.601215	1.000000	0.000000	
45000	-9.759147	8	11.837904	27.451395	0.483848	0.516152	1.000000	0.000000	
46000	-9.548655	479	24.708536	17.943695	0.482712	0.517288	1.000000	0.000000	
47000	-8.991636	151	1.518331	8.114155	0.022969	0.977031	1.000000	0.000000	
48000	-9.538423	263	24.467800	11.956934	0.477389	0.522611	1.000000	0.000000	
49000	-9.149699	258	24.283615	21.607069	0.485747	0.514253	1.000000	0.000000	
50000	-9.929219	86	3.499359	16.363342	0.173281	0.826719	1.000000	0.000000	
51000	-10.676555	435	47.882543	61.818876	0.499965	0.500035	1.000000	0.000000	
52000	-8.223418	139	10.518381	14.620433	0.411434	0.588566	1.000000	0.000000	
53000	-7.518279	169	5.805368	6.180301	0.265791	0.734209	1.000000	0.000000	
54000	-7.562301	264	9.586555	5.661556	0.348357	0.651643	1.000000	0.000000	
55000	-7.762307	360	11.649382	12.267354	0.309912	0.690088	1.000000	0.000000	
56000	-11.078089	353	71.908342	85.809165	0.499981	0.500019	1.000000	0.000000	
57000	-7.874964	170	7.167974	10.871233	0.275194	0.724806	1.000000	0.000000	
58000	-8.832063	143	20.594871	14.898634	0.484756	0.515244	1.000000	0.000000	
59000	-8.114470	172	11.975020	9.577277	0.369984	0.630016	1.000000	0.000000	
60000	-9.139834	221	10.058242	1.446622	0.514161	0.485839	1.000000	0.000000	
61000	-10.669557	132	26.766001	67.381244	0.499211	0.500789	1.000000	0.000000	
62000	-8.153597	20	13.571066	13.639021	0.409689	0.590311	1.000000	0.000000	
63000	-8.742115	468	15.913924	14.786409	0.451114	0.548886	1.000000	0.000000	
64000	-9.537544	411	18.963948	24.154379	0.486420	0.513580	1.000000	0.000000	
65000	-7.644734	40	14.041461	13.381759	0.430097	0.569903	1.000000	0.000000	
66000	-8.705438	204	12.995171	14.469721	0.404733	0.595267	1.000000	0.000000	
67000	-10.379394	316	43.347766	46.346567	0.499120	0.500880	1.000000	0.000000	
68000	-9.311507	173	17.761886	25.729334	0.475880	0.524120	1.000000	0.000000	
69000	-8.172078	476	14.003348	13.150118	0.340946	0.659054	1.000000	0.000000	
70000	-8.066354	345	5.766204	3.191539	0.209688	0.790312	1.000000	0.000000	
71000	-9.901708	399	28.887324	15.464291	0.478815	0.521185	1.000000	0.000000	
72000	-10.720472	477	19.953685	47.414453	0.494312	0.505688	1.000000	0.000000	
73000	-10.343733	70	30.169704	46.329950	0.498938	0.501062	1.000000	0.000000	
74000	-7.234165	342	11.155015	7.944768	0.388633	0.611367	1.000000	0.000000	
75000	-10.222822	105	23.195443	34.198826	0.487563	0.512437	1.000000	0.000000	
76000	-7.294753	400	8.293512	11.450579	0.188232	0.811768	1.000000	0.000000	
77000	-8.477275	267	13.353504	17.231711	0.425445	0.574555	1.000000	0.000000	
78000	-9.311888	295	23.382200	14.679847	0.452063	0.547937	1.000000	0.000000	
79000	-9.450467	496	7.962408	1.486892	0.411314	0.588686	1.000000	0.000000	
80000	-8.076117	468	3.744023	5.896394	0.124984	0.875016	1.000000	0.000000	
81000	-8.124545	100	4.072120	3.345342	0.142563	0.857437	1.000000	0.000000	
82000	-8.854901	159	19.421909	13.287239	0.460232	0.539768	1.000000	0.000000	
83000	-7.595987	357	11.173278	6.961735	0.275265	0.724735	1.000000	0.000000	
84000	-11.160117	168	73.673346	66.476965	0.500000	0.500000	1.000000	0.000000	
85000	-8.120251	272	12.391764	10.141622	0.411728	0.588272	1.000000	0.000000	
86000	-8.981485	133	10.208859	18.494045	0.381631	0.618369	1.000000	0.000000	
87000	-7.709616	210	4.120452	4.763620	0.198200	0.801800	1.000000	0.000000	
88000	-10.899348	35	58.218098	57.291631	0.499965	0.500035	1.000000	0.000000	
89000	-8.175703	26	8.236374	14.533439	0.352320	0.647680	1.000000	0.000000	
90000	-9.639914	32	24.167445	6.320022	0.477955	0.522045	1.000000	0.000000	
91000	-9.380772	455	17.594685	31.437384	0.488242	0.511758	1.000000	0.000000	
92000	-10.722162	162	57.427596	94.725183	0.499996	0.500004	1.000000	0.000000	
93000	-7.408337	189	10.565072	5.121369	0.401170	0.598830	1.000000	0.000000	
94000	-9.581381	321	15.944962	33.672950	0.496617	0.503383	1.000000	0.000000	
95000	-8.952102	75	18.351223	20.641976	0.484039	0.515961	1.000000	0.000000	
96000	-8.363304	452	13.207779	12.083433	0.414321	0.585679	1.000000	0.000000	
97000	-7.849844	156	4.614811	8.723566	0.150098	0.849902	1.000000	0.000000	
98000	-8.756423	82	15.746822	20.561419	0.474608	0.525392	1.000000	0.000000	
99000	-10.908511	208	0.244874	7.699538	0.001505	0.998495	1.000000	0.000000	
100000	-8.966141	123	22.122767	21.429679	0.455634	0.544366	1.000000	0.000000	
101000	-9.898438	355	9.614928	27.249877	0.410642	0.589358	1.000000	0.000000	
102000	-8.502761	308	7.281847	12.098854	0.288016	0.711984	1.000000	0.000000	
103000	-7.490171	129	5.783653	7.621692	0.179811	0.820189	1.000000	0.000000	
104000	-9.670973	489	19.347224	33.433264	0.492686	0.507314	1.000000	0.000000	
105000	-10.003448	420	13.809866	34.343328	0.443784	0.556216	1.000000	0.000000	
106000	-9.620120	418	22.119111	25.378402	0.471256	0.528744	1.000000	0.000000	
107000	-8.462062	318	14.855218	7.997779	0.366949	0.633051	1.000000	0.000000	
108000	-10.073503	143	35.223871	34.662408	0.499386	0.500614	1.000000	0.000000	
109000	-10.517802	357	63.764008	93.405198	0.499944	0.500056	1.000000	0.000000	
110000	-8.460575	485	14.996153	10.758354	0.443214	0.556786	1.000000	0.000000	
111000	-10.186219	108	7.967836	23.602568	0.454345	0.545655	1.000000	0.000000	
112000	-7.962385	214	12.331182	7.568104	0.353531	0.646469	1.000000	0.000000	
113000	-9.702131	159	11.323605	27.898742	0.452919	0.547081	1.000000	0.000000	
