Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3674852225
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
61000	-40.695562	68	0.768934	4.300105	4.775502	1.676561	0.738872	0.016618	0.239132	0.005378	
62000	-43.862035	32	3.131892	4.041169	3.309854	1.342530	0.586058	0.073734	0.302189	0.038019	
63000	-41.189336	357	0.588355	3.358333	3.369254	1.349171	0.425316	0.042631	0.483582	0.048471	
64000	-44.419236	329	0.266906	3.528096	3.070732	4.847130	0.094509	0.088856	0.420906	0.395730	
65000	-42.431064	224	1.456917	3.792648	2.156047	2.503780	0.436370	0.184252	0.266747	0.112631	
66000	-42.742532	451	0.214247	2.638657	4.716897	1.589128	0.341847	0.037455	0.559406	0.061293	
67000	-44.616222	16	1.490818	7.916107	3.524074	4.688742	0.206672	0.180379	0.327293	0.285655	
68000	-40.708671	232	1.236752	1.109517	3.001959	2.128239	0.806036	0.168059	0.021436	0.004469	
69000	-42.567978	333	2.643527	5.773404	2.980299	1.983178	0.540345	0.068069	0.347775	0.043810	
70000	-41.804038	203	1.713195	4.546735	2.298129	3.220358	0.469478	0.174764	0.259251	0.096507	
71000	-39.234098	312	1.388286	2.328947	3.198021	1.974426	0.803456	0.112110	0.074095	0.010339	
72000	-44.113960	286	2.993089	7.294147	2.887953	2.115773	0.475178	0.105406	0.343270	0.076146	
73000	-41.874562	498	1.867578	2.560940	3.435299	2.468949	0.779416	0.129031	0.078549	0.013004	
74000	-42.081964	161	2.026922	3.806712	5.787097	1.461257	0.614062	0.080921	0.269502	0.035515	
75000	-41.872711	189	1.422589	4.266916	2.173501	4.443633	0.372867	0.267544	0.209364	0.150225	
76000	-42.900044	191	1.814855	4.659816	0.970487	3.645621	0.168440	0.454726	0.101857	0.274977	
77000	-41.454571	474	1.429673	4.243216	4.124824	0.382578	0.679861	0.002733	0.316135	0.001271	
