Options:
Model:                           MultiState
Tree File Name:                  Bird.trees
Data File Name:                  BirdTerritory.txt
Log File Name:                   BirdTerritory_covarionOFF_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2760883259
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      200500
Burn in:                         500
MCMC ML Start:                   False
Schedule File:                   BirdTerritory_covarionOFF_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       5669
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	
8800	-1934.524785	1	7.663790	17.870744	0.198379	0.801621	
8900	-1935.484858	1	8.455662	19.194263	0.236459	0.763541	
9000	-1938.016451	1	8.676089	21.484075	0.210266	0.789734	
9100	-1935.065158	1	7.030523	18.445536	0.141309	0.858691	
9200	-1936.863853	1	6.509452	18.256744	0.113638	0.886362	
9300	-1937.014463	1	7.000495	16.186682	0.184501	0.815499	
9400	-1936.158455	1	8.717118	18.865801	0.272976	0.727024	
9500	-1935.276676	1	8.363668	19.223257	0.227266	0.772734	
9600	-1934.629165	1	7.611823	19.625687	0.162913	0.837087	
9700	-1934.537429	1	7.895941	19.153188	0.189894	0.810106	
9800	-1934.863798	1	8.202247	18.771419	0.224000	0.776000	
9900	-1935.222416	1	7.027853	17.914827	0.148618	0.851382	
10000	-1937.558112	1	8.996758	17.292905	0.387648	0.612352	
10100	-1935.734568	1	7.329582	20.784913	0.135892	0.864108	
10200	-1934.495181	1	7.860087	19.097020	0.188182	0.811818	
10300	-1935.429577	1	6.946168	19.480490	0.125711	0.874289	
10400	-1934.780560	1	7.492841	17.495123	0.192813	0.807187	
10500	-1935.037206	1	8.192934	19.481221	0.206982	0.793018	
10600	-1934.953747	1	7.763610	17.215566	0.227836	0.772164	
10700	-1935.521979	1	7.768542	20.722480	0.160592	0.839408	
10800	-1934.542264	1	7.335969	18.813880	0.155765	0.844235	
10900	-1935.577855	1	7.348736	16.757740	0.200410	0.799590	
11000	-1935.780855	1	7.674334	20.975841	0.153001	0.846999	
11100	-1934.392676	1	7.751647	18.854911	0.184353	0.815647	
11200	-1936.893280	1	7.605187	21.800114	0.143716	0.856284	
11300	-1935.289951	1	6.937984	18.479976	0.135292	0.864708	
11400	-1935.047618	1	7.741553	20.226699	0.164016	0.835984	
11500	-1934.463365	1	7.890710	18.479064	0.203412	0.796588	
11600	-1937.043618	1	6.470531	18.254131	0.111606	0.888394	
11700	-1935.241023	1	8.329753	19.334435	0.221610	0.778390	
11800	-1935.073498	1	8.067398	19.895535	0.190095	0.809905	
11900	-1934.768013	1	7.874592	19.726824	0.179023	0.820977	
12000	-1934.507488	1	7.415825	18.219888	0.170769	0.829231	
12100	-1934.892218	1	8.166837	18.026991	0.242742	0.757258	
12200	-1936.625092	1	8.753404	19.814471	0.248056	0.751944	
12300	-1934.440721	1	7.853857	18.818091	0.193008	0.806992	
12400	-1935.206907	1	6.993478	18.184770	0.142452	0.857548	
12500	-1934.387513	1	7.775145	18.644529	0.190230	0.809770	
12600	-1934.913946	1	7.275502	17.623631	0.171722	0.828278	
12700	-1934.391100	1	7.664740	18.305475	0.188385	0.811615	
12800	-1934.990121	1	7.235534	17.595125	0.169205	0.830795	
12900	-1934.383265	1	7.763041	18.578394	0.190610	0.809390	
13000	-1934.757597	1	8.040682	19.358793	0.197266	0.802734	
13100	-1934.537400	1	7.337970	18.782224	0.156336	0.843664	
13200	-1934.827656	1	7.707364	19.946514	0.165085	0.834915	
13300	-1935.363222	1	7.011632	19.672434	0.127582	0.872418	
13400	-1934.846519	1	7.146021	18.320721	0.150339	0.849661	
13500	-1935.137697	1	7.941431	17.125766	0.251460	0.748540	
13600	-1935.188646	1	8.247267	17.661501	0.265525	0.734475	
13700	-1934.879329	1	7.273427	19.646023	0.142221	0.857779	
