Options:
Model:                           MultiState
Tree File Name:                  Bird.trees
Data File Name:                  BirdTerritory.txt
Log File Name:                   BirdTerritory_covarionON_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3092223893
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      200500
Burn in:                         500
MCMC ML Start:                   False
Schedule File:                   BirdTerritory_covarionON_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       5669
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q10	Covar On to Off	 Covar Off to On	Root P(0)	Root P(1)	
6800	-1770.888167	1	11.231347	86.872177	17.642972	17.642972	0.001921	0.998079	
6900	-1771.015854	1	12.275391	78.577679	15.086723	15.086723	0.005431	0.994569	
7000	-1771.502424	1	11.791900	90.026500	19.346988	19.346988	0.002052	0.997948	
7100	-1770.747485	1	26.012049	35.682711	12.433740	12.433740	0.644664	0.355336	
7200	-1769.706534	1	24.814739	37.660607	12.058459	12.058459	0.604940	0.395060	
7300	-1769.952148	1	21.123761	46.176918	11.577929	11.577929	0.436777	0.563223	
7400	-1770.040008	1	24.933909	47.317840	9.586158	9.586158	0.529502	0.470498	
7500	-1771.954170	1	19.998952	39.189070	13.105194	13.105194	0.479735	0.520265	
7600	-1771.967414	1	22.422963	54.614430	14.412562	14.412562	0.337690	0.662310	
7700	-1769.739283	1	22.137103	33.712582	7.729107	7.729107	0.615790	0.384210	
7800	-1768.841672	1	22.225261	38.387975	9.319668	9.319668	0.571688	0.428312	
7900	-1769.241473	1	23.533263	43.072971	11.786736	11.786736	0.529416	0.470584	
8000	-1772.058426	1	16.825029	95.168651	15.029184	15.029184	0.009653	0.990347	
8100	-1772.165658	1	16.917857	76.977345	13.606950	13.606950	0.039047	0.960953	
8200	-1771.089390	1	11.615158	87.522049	18.657599	18.657599	0.002141	0.997859	
8300	-1770.924886	1	15.372583	77.359213	16.227588	16.227588	0.015668	0.984332	
8400	-1769.326573	1	21.468955	41.868693	10.937718	10.937718	0.508144	0.491856	
8500	-1769.035453	1	21.941576	35.346727	10.295229	10.295229	0.594715	0.405285	
8600	-1768.747354	1	22.264271	36.724572	9.389471	9.389471	0.587596	0.412404	
8700	-1769.400023	1	21.828697	43.355459	11.394757	11.394757	0.493698	0.506302	
8800	-1770.364383	1	20.528125	46.968287	11.775438	11.775438	0.404252	0.595748	
8900	-1771.142936	1	29.046794	34.487034	10.533024	10.533024	0.694881	0.305119	
9000	-1772.321440	1	29.124532	28.959111	9.513986	9.513986	0.770352	0.229648	
9100	-1771.543110	1	11.382056	77.189293	17.251514	17.251514	0.003491	0.996509	
