Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
900	0.261111	0.485915	900	0.261111	0.261111	0.067608	
1000	0.262000	0.485915	1000	0.262000	0.262000	0.069448	
100	0.210000	0.485915	100	0.210000	0.210000	0.070714	
200	0.200000	0.485915	200	0.200000	0.200000	0.071779	
300	0.200000	0.485915	300	0.200000	0.200000	0.072914	
400	0.232500	0.485915	400	0.232500	0.232500	0.075169	
500	0.240000	0.485915	500	0.240000	0.240000	0.076863	
600	0.255000	0.485915	600	0.255000	0.255000	0.079045	
700	0.254286	0.485915	700	0.254286	0.254286	0.080506	
800	0.255000	0.485915	800	0.255000	0.255000	0.082027	
900	0.258889	0.485915	900	0.258889	0.258889	0.083774	
1000	0.256000	0.485915	1000	0.256000	0.256000	0.084993	
100	0.230000	0.485915	100	0.230000	0.230000	0.086191	
200	0.230000	0.485915	200	0.230000	0.230000	0.087370	
300	0.220000	0.485915	300	0.220000	0.220000	0.088286	
400	0.237500	0.485915	400	0.237500	0.237500	0.089912	
500	0.250000	0.485915	500	0.250000	0.250000	0.091593	
600	0.256667	0.485915	600	0.256667	0.256667	0.093167	
700	0.241429	0.485915	700	0.241429	0.241429	0.093615	
800	0.243750	0.485915	800	0.243750	0.243750	0.094914	
900	0.240000	0.485915	900	0.240000	0.240000	0.095807	
1000	0.235000	0.485915	1000	0.235000	0.235000	0.096531	
100	0.140000	0.485915	100	0.140000	0.140000	0.096863	
200	0.190000	0.485915	200	0.190000	0.190000	0.097947	
300	0.236667	0.485915	300	0.236667	0.236667	0.099692	
400	0.232500	0.485915	400	0.232500	0.232500	0.100590	
500	0.238000	0.485915	500	0.238000	0.238000	0.101770	
600	0.245000	0.485915	600	0.245000	0.245000	0.103081	
700	0.247143	0.485915	700	0.247143	0.247143	0.104226	
800	0.235000	0.485915	800	0.235000	0.235000	0.104558	
900	0.236667	0.485915	900	0.236667	0.236667	0.105604	
1000	0.245000	0.485915	1000	0.245000	0.245000	0.107135	
100	0.190000	0.485915	100	0.190000	0.190000	0.107723	
200	0.190000	0.485915	200	0.190000	0.190000	0.108302	
300	0.200000	0.485915	300	0.200000	0.200000	0.109083	
400	0.185000	0.485915	400	0.185000	0.185000	0.109298	
500	0.200000	0.485915	500	0.200000	0.200000	0.110337	
600	0.196667	0.485915	600	0.196667	0.196667	0.110814	
700	0.205714	0.485915	700	0.205714	0.205714	0.111829	
800	0.196250	0.485915	800	0.196250	0.196250	0.111952	
900	0.203333	0.485915	900	0.203333	0.203333	0.112945	
1000	0.206000	0.485915	1000	0.206000	0.206000	0.113726	
100	0.210000	0.485915	100	0.210000	0.210000	0.114363	
200	0.270000	0.485915	200	0.270000	0.270000	0.115782	
300	0.270000	0.485915	300	0.270000	0.270000	0.116790	
400	0.270000	0.485915	400	0.270000	0.270000	0.117785	
500	0.266000	0.485915	500	0.266000	0.266000	0.118638	
600	0.266667	0.485915	600	0.266667	0.266667	0.119608	
700	0.261429	0.485915	700	0.261429	0.261429	0.120311	
800	0.261250	0.485915	800	0.261250	0.261250	0.121195	
900	0.263333	0.485915	900	0.263333	0.263333	0.122194	
1000	0.259000	0.485915	1000	0.259000	0.259000	0.122805	
100	0.320000	0.485915	100	0.320000	0.320000	0.124030	
200	0.315000	0.485915	200	0.315000	0.315000	0.125177	
300	0.303333	0.485915	300	0.303333	0.303333	0.126127	
400	0.297500	0.485915	400	0.297500	0.297500	0.127065	
500	0.264000	0.485915	500	0.264000	0.264000	0.127083	
600	0.256667	0.485915	600	0.256667	0.256667	0.127643	
700	0.257143	0.485915	700	0.257143	0.257143	0.128435	
800	0.241250	0.485915	800	0.241250	0.241250	0.128445	
900	0.242222	0.485915	900	0.242222	0.242222	0.129164	
1000	0.251000	0.485915	1000	0.251000	0.251000	0.130345	
100	0.180000	0.485915	100	0.180000	0.180000	0.130636	
200	0.190000	0.485915	200	0.190000	0.190000	0.131039	
300	0.213333	0.485915	300	0.213333	0.213333	0.131784	
400	0.217500	0.485915	400	0.217500	0.217500	0.132349	
500	0.210000	0.485915	500	0.210000	0.210000	0.132621	
600	0.211667	0.485915	600	0.211667	0.211667	0.133117	
700	0.210000	0.485915	700	0.210000	0.210000	0.133495	
800	0.215000	0.485915	800	0.215000	0.215000	0.134150	
900	0.218889	0.485915	900	0.218889	0.218889	0.134797	
1000	0.217000	0.485915	1000	0.217000	0.217000	0.135159	
100	0.220000	0.485915	100	0.220000	0.220000	0.135628	
200	0.285000	0.485915	200	0.285000	0.285000	0.136806	
300	0.296667	0.485915	300	0.296667	0.296667	0.137807	
400	0.272500	0.485915	400	0.272500	0.272500	0.138145	
500	0.268000	0.485915	500	0.268000	0.268000	0.138749	
600	0.278333	0.485915	600	0.278333	0.278333	0.139777	
700	0.265714	0.485915	700	0.265714	0.265714	0.140046	
800	0.256250	0.485915	800	0.256250	0.256250	0.140312	
900	0.267778	0.485915	900	0.267778	0.267778	0.141474	
1000	0.265000	0.485915	1000	0.265000	0.265000	0.141993	
100	0.180000	0.485915	100	0.180000	0.180000	0.142192	
200	0.200000	0.485915	200	0.200000	0.200000	0.142597	
300	0.203333	0.485915	300	0.203333	0.203333	0.142946	
400	0.240000	0.485915	400	0.240000	0.240000	0.144013	
500	0.254000	0.485915	500	0.254000	0.254000	0.144864	
600	0.261667	0.485915	600	0.261667	0.261667	0.145656	
700	0.251429	0.485915	700	0.251429	0.251429	0.145881	
800	0.253750	0.485915	800	0.253750	0.253750	0.146508	
900	0.254444	0.485915	900	0.254444	0.254444	0.147078	
1000	0.248000	0.485915	1000	0.248000	0.248000	0.147293	
100	0.230000	0.485915	100	0.230000	0.230000	0.147704	
200	0.235000	0.485915	200	0.235000	0.235000	0.148161	
300	0.216667	0.485915	300	0.216667	0.216667	0.148318	
400	0.222500	0.485915	400	0.222500	0.222500	0.148767	
500	0.232000	0.485915	500	0.232000	0.232000	0.149359	
600	0.240000	0.485915	600	0.240000	0.240000	0.149993	
700	0.250000	0.485915	700	0.250000	0.250000	0.150766	
800	0.251250	0.485915	800	0.251250	0.251250	0.151291	
900	0.252222	0.485915	900	0.252222	0.252222	0.151811	
1000	0.249000	0.485915	1000	0.249000	0.249000	0.152136	
100	0.240000	0.485915	100	0.240000	0.240000	0.152552	
200	0.210000	0.485915	200	0.210000	0.210000	0.152681	
300	0.240000	0.485915	300	0.240000	0.240000	0.153373	
400	0.242500	0.485915	400	0.242500	0.242500	0.153825	
500	0.250000	0.485915	500	0.250000	0.250000	0.154411	
600	0.256667	0.485915	600	0.256667	0.256667	0.155039	
700	0.252857	0.485915	700	0.252857	0.252857	0.155385	
800	0.248750	0.485915	800	0.248750	0.248750	0.155681	
900	0.250000	0.485915	900	0.250000	0.250000	0.156157	
1000	0.256000	0.485915	1000	0.256000	0.256000	0.156857	
100	0.230000	0.485915	100	0.230000	0.230000	0.157187	
200	0.220000	0.485915	200	0.220000	0.220000	0.157425	
300	0.226667	0.485915	300	0.226667	0.226667	0.157796	
400	0.240000	0.485915	400	0.240000	0.240000	0.158341	
500	0.260000	0.485915	500	0.260000	0.260000	0.159148	
600	0.258333	0.485915	600	0.258333	0.258333	0.159550	
700	0.257143	0.485915	700	0.257143	0.257143	0.159949	
800	0.255000	0.485915	800	0.255000	0.255000	0.160300	
900	0.263333	0.485915	900	0.263333	0.263333	0.161041	
1000	0.267000	0.485915	1000	0.267000	0.267000	0.161645	
100	0.290000	0.485915	100	0.290000	0.290000	0.162201	
200	0.285000	0.485915	200	0.285000	0.285000	0.162709	
300	0.260000	0.485915	300	0.260000	0.260000	0.162911	
400	0.280000	0.485915	400	0.280000	0.280000	0.163668	
500	0.268000	0.485915	500	0.268000	0.268000	0.163908	
600	0.273333	0.485915	600	0.273333	0.273333	0.164485	
700	0.258571	0.485915	700	0.258571	0.258571	0.164508	
800	0.258750	0.485915	800	0.258750	0.258750	0.164909	
900	0.260000	0.485915	900	0.260000	0.260000	0.165349	
1000	0.258000	0.485915	1000	0.258000	0.258000	0.165660	
100	0.260000	0.485915	100	0.260000	0.260000	0.166051	
200	0.250000	0.485915	200	0.250000	0.250000	0.166357	
300	0.253333	0.485915	300	0.253333	0.253333	0.166742	
400	0.240000	0.485915	400	0.240000	0.240000	0.166878	
500	0.256000	0.485915	500	0.256000	0.256000	0.167503	
600	0.250000	0.485915	600	0.250000	0.250000	0.167717	
700	0.241429	0.485915	700	0.241429	0.241429	0.167807	
800	0.227500	0.485915	800	0.227500	0.227500	0.167655	
900	0.220000	0.485915	900	0.220000	0.220000	0.167624	
1000	0.226000	0.485915	1000	0.226000	0.226000	0.168073	
100	0.350000	0.485915	100	0.350000	0.350000	0.168798	
200	0.330000	0.485915	200	0.330000	0.330000	0.169358	
300	0.293333	0.485915	300	0.293333	0.293333	0.169559	
400	0.272500	0.485915	400	0.272500	0.272500	0.169718	
500	0.252000	0.485915	500	0.252000	0.252000	0.169719	
600	0.246667	0.485915	600	0.246667	0.246667	0.169915	
700	0.248571	0.485915	700	0.248571	0.248571	0.170266	
800	0.247500	0.485915	800	0.247500	0.247500	0.170536	
