Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1977399206
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	
106000	-8.228068	27	9.237338	5.375015	0.392278	0.607722	
107000	-8.719260	261	14.467504	5.718503	0.411697	0.588303	
108000	-7.344414	49	5.053925	7.572228	0.114570	0.885430	
109000	-8.374569	367	5.391834	2.071836	0.202377	0.797623	
110000	-8.365492	404	4.189581	1.810005	0.265830	0.734170	
111000	-7.920906	196	6.325693	11.033996	0.208397	0.791603	
112000	-13.908423	149	40.695207	5.504905	0.469291	0.530709	
113000	-9.412508	375	0.547191	7.782092	0.002453	0.997547	
114000	-8.823835	221	3.103538	8.180723	0.112176	0.887824	
115000	-8.870799	278	2.466029	13.239709	0.086211	0.913789	
116000	-7.752920	224	9.237703	3.484188	0.313929	0.686071	
117000	-7.908757	316	2.303985	7.617838	0.038750	0.961250	
118000	-8.283364	2	13.796643	11.859159	0.442754	0.557246	
119000	-7.213140	500	8.237975	6.592002	0.237431	0.762569	
120000	-7.955700	345	3.517622	6.768049	0.113067	0.886933	
121000	-7.784434	109	10.237097	6.894705	0.383230	0.616770	
122000	-8.094931	359	7.641545	1.519155	0.639225	0.360775	
123000	-8.192284	165	8.919584	3.396392	0.370097	0.629903	
124000	-8.898842	15	7.061110	13.511910	0.276751	0.723249	
125000	-8.561598	389	19.685112	27.572661	0.426318	0.573682	
126000	-8.142608	268	4.785167	8.840681	0.155054	0.844946	
127000	-7.883219	241	12.500951	11.524671	0.391982	0.608018	
128000	-8.313738	123	11.433269	5.436132	0.308416	0.691584	
129000	-8.754264	148	16.118246	12.659044	0.451730	0.548270	
130000	-8.733627	6	13.278487	3.385405	0.392378	0.607622	
131000	-9.084147	401	2.537313	1.698703	0.088756	0.911244	
132000	-8.755521	133	6.246980	1.951990	0.221816	0.778184	
133000	-8.270678	293	10.580899	2.631765	0.434885	0.565115	
134000	-7.666245	314	7.623004	2.984286	0.313668	0.686332	
135000	-7.652092	18	12.260527	10.530565	0.307560	0.692440	
136000	-8.053514	294	1.749232	2.735443	0.037845	0.962155	
137000	-8.379258	106	10.154084	15.490349	0.366955	0.633045	
138000	-8.445138	180	10.730972	15.102370	0.384733	0.615267	
139000	-9.709971	413	4.980661	0.636642	0.417206	0.582794	
140000	-8.192833	471	14.204757	7.628411	0.350170	0.649830	
141000	-11.082233	162	0.757674	13.266572	0.010002	0.989998	
142000	-8.373580	72	3.442977	9.182663	0.163865	0.836135	
143000	-8.048217	45	11.825047	10.817161	0.365510	0.634490	
144000	-8.390501	232	12.982563	2.624659	0.430032	0.569968	
145000	-7.348786	348	1.608933	6.538785	0.020472	0.979528	
146000	-8.663787	178	9.257126	20.067781	0.415396	0.584604	
147000	-8.070288	372	13.334020	12.038623	0.340113	0.659887	
148000	-10.061492	288	14.157818	2.239364	0.492474	0.507526	
149000	-7.679000	378	8.163374	2.949752	0.340581	0.659419	
150000	-8.932904	427	5.778006	13.156053	0.262075	0.737925	
151000	-8.188528	419	7.880900	3.244744	0.335446	0.664554	
152000	-9.459303	136	4.743751	0.487324	0.582727	0.417273	
153000	-9.105972	142	11.071979	1.822062	0.519966	0.480034	
154000	-8.576632	456	2.522959	7.653083	0.057956	0.942044	
155000	-9.415128	58	0.508979	1.795643	0.001527	0.998473	
156000	-7.824401	497	4.950031	2.449901	0.229046	0.770954	
157000	-7.742397	346	6.613775	4.426411	0.233393	0.766607	
158000	-7.292374	493	5.845809	5.359636	0.227932	0.772068	
159000	-8.136517	206	4.069272	6.251560	0.147834	0.852166	
160000	-9.852369	132	0.647520	11.023478	0.005258	0.994742	
161000	-7.661623	36	8.341953	9.002808	0.298021	0.701979	
162000	-8.583921	330	9.067787	14.254367	0.363004	0.636996	
163000	-7.774648	348	6.864744	11.664974	0.242743	0.757257	
164000	-9.223908	204	5.621376	1.906504	0.192903	0.807097	
165000	-7.993386	106	10.735708	11.386928	0.356620	0.643380	
166000	-7.688155	200	6.477849	4.092638	0.216262	0.783738	
167000	-7.494270	240	6.826966	6.210284	0.219665	0.780335	
168000	-7.330424	82	2.400487	4.545229	0.060230	0.939770	
169000	-8.577729	47	18.757035	20.763734	0.460820	0.539180	
170000	-8.062562	402	6.220716	7.621115	0.222809	0.777191	
171000	-7.869088	64	9.211719	4.351133	0.292473	0.707527	
172000	-7.875017	376	5.701097	3.882845	0.175415	0.824585	
173000	-7.347161	112	6.236388	6.564590	0.209064	0.790936	
174000	-8.477673	492	9.674910	6.402705	0.393101	0.606899	
175000	-7.862419	367	4.760247	3.757824	0.148357	0.851643	
176000	-8.235160	288	7.245501	6.079379	0.340349	0.659651	
177000	-9.339364	165	1.108552	7.597377	0.011195	0.988805	
178000	-8.390390	103	1.581770	3.581293	0.022050	0.977950	
179000	-7.587640	47	10.435550	8.601165	0.319653	0.680347	
180000	-9.315303	31	5.197765	1.180943	0.257122	0.742878	
181000	-10.183283	439	15.037669	0.637418	0.667460	0.332540	
182000	-7.549141	368	4.659980	5.253439	0.115363	0.884637	
183000	-8.165446	95	14.877037	7.391097	0.395016	0.604984	
184000	-7.446031	484	4.653156	5.191411	0.168336	0.831664	
185000	-10.232162	391	9.736382	0.076830	0.947503	0.052497	
186000	-8.015995	272	4.718637	7.476984	0.184101	0.815899	
187000	-8.313689	237	1.798575	6.207388	0.019644	0.980356	
188000	-8.512054	154	14.152066	12.240000	0.432341	0.567659	
189000	-7.443312	360	5.525076	6.309117	0.122870	0.877130	
190000	-7.745578	257	9.610774	5.416744	0.354629	0.645371	
191000	-8.161392	330	11.402282	11.304498	0.389181	0.610819	
192000	-8.008990	196	6.116030	11.490284	0.202892	0.797108	
193000	-7.938730	430	6.534131	8.591679	0.358310	0.641690	
194000	-7.864616	106	4.805029	7.427032	0.149100	0.850900	
195000	-7.083896	12	4.771076	6.400165	0.177412	0.822588	
196000	-8.925864	457	8.233698	1.521585	0.501061	0.498939	
197000	-8.133487	234	11.547139	5.384219	0.372193	0.627807	
198000	-8.010352	51	10.582848	4.746418	0.392443	0.607557	
199000	-7.961817	452	6.491514	8.808897	0.248802	0.751198	
200000	-8.683222	214	1.614802	6.149596	0.017907	0.982093	
201000	-8.326175	346	20.438013	13.430213	0.466316	0.533684	
202000	-8.621406	302	1.233776	2.810724	0.008689	0.991311	
203000	-8.231672	202	6.476232	2.440751	0.427521	0.572479	
204000	-9.068069	125	14.068407	4.746814	0.424862	0.575138	
205000	-7.755882	32	9.259059	3.879655	0.374412	0.625588	
206000	-7.091901	428	2.980543	3.619652	0.050579	0.949421	
207000	-8.634563	212	0.863082	4.836814	0.004244	0.995756	
208000	-8.666572	380	3.996489	1.579521	0.121035	0.878965	
209000	-8.624900	330	18.413821	15.205952	0.457341	0.542659	
210000	-7.275043	283	8.847453	7.245953	0.280211	0.719789	
211000	-7.614727	369	2.789844	5.069244	0.062967	0.937033	
212000	-8.198375	208	8.477681	2.554814	0.415622	0.584378	
213000	-7.831052	126	9.960286	9.462312	0.355720	0.644280	
214000	-7.745433	66	3.816589	2.816779	0.083184	0.916816	
215000	-10.301724	199	11.716205	33.092268	0.490208	0.509792	
216000	-8.937789	480	4.278286	0.799872	0.376337	0.623663	
217000	-7.861015	220	7.768161	8.253009	0.284273	0.715727	
218000	-8.062254	223	3.008036	3.306641	0.059355	0.940645	
219000	-8.105887	172	6.742584	10.390989	0.246272	0.753728	
220000	-8.608521	409	11.558089	2.395849	0.466479	0.533521	
221000	-8.835511	339	18.432948	20.218417	0.493611	0.506389	
222000	-7.583039	229	2.910298	3.328941	0.066427	0.933573	
223000	-7.763870	438	4.354531	3.383255	0.113083	0.886917	
224000	-7.869628	256	5.859537	6.925519	0.230644	0.769356	
225000	-8.115580	331	13.657738	4.001579	0.480747	0.519253	
226000	-8.817257	69	1.084063	6.282584	0.011057	0.988943	
227000	-9.761599	103	9.380871	23.761510	0.428176	0.571824	
228000	-8.326345	157	4.207855	9.514006	0.218955	0.781045	
229000	-7.415981	18	2.022563	5.023642	0.017998	0.982002	
230000	-8.235143	265	12.292036	3.046446	0.445876	0.554124	
231000	-7.775614	30	3.161268	1.961223	0.116039	0.883961	
232000	-9.384671	477	3.978150	13.917737	0.173058	0.826942	
233000	-8.581476	172	5.179981	1.655455	0.235758	0.764242	
234000	-8.960001	375	2.730048	1.234824	0.057480	0.942520	
235000	-7.853313	157	11.494016	8.901746	0.432298	0.567702	
236000	-8.140568	127	16.083649	11.737811	0.424780	0.575220	
237000	-7.482445	331	7.251826	4.887214	0.350947	0.649053	
238000	-9.041564	154	10.968116	2.970712	0.421797	0.578203	
239000	-8.171483	149	2.754682	6.510866	0.029303	0.970697	
240000	-7.827116	84	4.993361	2.339881	0.202137	0.797863	
241000	-8.468080	462	13.772535	8.255797	0.372075	0.627925	
242000	-8.412426	429	21.027063	9.032128	0.453261	0.546739	
243000	-8.310842	372	3.304729	5.639120	0.048560	0.951440	
244000	-8.243952	13	4.404995	8.331264	0.130349	0.869651	
245000	-7.978979	487	7.397896	3.139972	0.325195	0.674805	
246000	-8.607669	153	11.203210	4.375921	0.383744	0.616256	
247000	-7.983210	48	11.567990	8.151191	0.344520	0.655480	
248000	-7.884314	277	5.555055	5.014109	0.223808	0.776192	
249000	-7.837655	203	2.471758	3.832606	0.050243	0.949757	
250000	-7.885859	307	5.729114	8.794175	0.240990	0.759010	
251000	-8.297169	98	7.422912	2.589636	0.286252	0.713748	
252000	-9.151538	166	1.040037	5.615082	0.008089	0.991911	
253000	-7.809329	376	5.432605	5.250442	0.158334	0.841666	
254000	-7.700009	203	12.316550	6.968917	0.383527	0.616473	
255000	-7.774178	192	11.117595	6.672062	0.399627	0.600373	
256000	-7.650058	84	11.299431	4.127836	0.371427	0.628573	
257000	-8.667495	206	8.323734	15.214636	0.375037	0.624963	
258000	-7.923835	78	3.418137	2.918375	0.074402	0.925598	
259000	-9.311852	404	24.127808	9.392901	0.478315	0.521685	
260000	-7.963044	448	9.894797	7.877715	0.397037	0.602963	
261000	-9.562096	168	0.407611	4.480596	0.003216	0.996784	
262000	-8.069685	437	3.898565	4.156417	0.138641	0.861359	
263000	-7.552279	121	4.641880	3.897182	0.202622	0.797378	
264000	-8.248655	413	11.461820	8.205484	0.354622	0.645378	
265000	-8.253765	165	9.700374	3.355337	0.395057	0.604943	
266000	-8.188247	469	3.638162	2.441298	0.075297	0.924703	
267000	-8.845510	419	17.061379	13.791809	0.471103	0.528897	
268000	-8.342355	58	2.095220	8.148987	0.035460	0.964540	
269000	-8.519349	337	4.841498	10.432879	0.206513	0.793487	
270000	-8.236165	492	3.551078	2.641551	0.152300	0.847700	
271000	-9.289854	124	4.717330	14.485813	0.285548	0.714452	
272000	-8.359390	280	2.850628	6.777312	0.061693	0.938307	
273000	-8.636317	221	13.555084	5.685867	0.424633	0.575367	
274000	-7.527352	174	9.058792	9.344811	0.306267	0.693733	
275000	-7.728188	369	10.808949	10.105666	0.364031	0.635969	
276000	-7.915336	51	2.655753	4.309672	0.077967	0.922033	
277000	-7.833453	9	9.523708	5.543768	0.332018	0.667982	
278000	-8.323233	358	3.775668	8.020086	0.131098	0.868902	
279000	-8.750409	263	7.327815	1.756560	0.349455	0.650545	
280000	-8.522498	60	17.723781	8.406544	0.466238	0.533762	
281000	-8.302243	358	9.963285	3.145728	0.364749	0.635251	
282000	-8.634138	368	13.758849	3.738678	0.382286	0.617714	
283000	-7.828810	330	7.246225	6.038750	0.287919	0.712081	
284000	-8.306077	351	7.695432	15.740104	0.315587	0.684413	
285000	-7.660327	389	4.125401	6.470533	0.060321	0.939679	
286000	-7.992467	493	8.550999	12.855081	0.365342	0.634658	
287000	-8.842370	154	15.604921	19.542847	0.463809	0.536191	
288000	-8.548806	287	13.597726	3.637435	0.388598	0.611402	
289000	-8.847559	16	11.019048	15.946646	0.438739	0.561261	
290000	-7.912108	367	13.703335	7.417745	0.399818	0.600182	
291000	-8.370118	214	3.855806	3.087095	0.095597	0.904403	
292000	-7.398838	114	3.114064	6.403432	0.068330	0.931670	
293000	-9.128841	460	13.722246	26.947078	0.463418	0.536582	
294000	-9.006641	21	18.187363	6.189022	0.458115	0.541885	
295000	-8.887857	325	12.002996	20.859777	0.473923	0.526077	
296000	-8.156980	233	6.704561	1.976513	0.279652	0.720348	
297000	-7.269655	295	4.713747	3.091139	0.094447	0.905553	
298000	-8.236589	7	3.171120	2.662976	0.095920	0.904080	
299000	-7.288200	49	5.287717	5.722930	0.115722	0.884278	
300000	-7.779784	294	8.868224	9.475879	0.377812	0.622188	
301000	-8.796394	316	3.557442	14.046500	0.114100	0.885900	
302000	-7.394268	30	6.333175	7.939696	0.269862	0.730138	
303000	-7.641089	305	4.027426	4.942967	0.090001	0.909999	
304000	-9.068846	362	3.284181	10.209882	0.135153	0.864847	
305000	-8.330789	474	18.302618	13.584728	0.452532	0.547468	
306000	-7.999634	165	7.884049	4.343793	0.304829	0.695171	
307000	-7.917035	393	3.720766	3.109150	0.107402	0.892598	
308000	-7.531735	319	8.460552	8.010627	0.363131	0.636869	
309000	-7.533411	378	6.711220	6.056033	0.226042	0.773958	
310000	-9.317659	488	7.735697	20.043219	0.431883	0.568117	
311000	-7.160676	12	8.838846	6.808573	0.326810	0.673190	
312000	-7.975712	37	7.331159	8.941752	0.254404	0.745596	
313000	-8.312528	357	17.400468	6.704241	0.374220	0.625780	
314000	-9.021475	396	0.919821	2.957013	0.012078	0.987922	
315000	-8.323079	445	9.718435	3.540539	0.379771	0.620229	
316000	-7.867264	43	7.579730	10.734911	0.396836	0.603164	
317000	-8.006527	428	19.366633	8.941461	0.431873	0.568127	
318000	-8.792183	394	7.823793	1.487624	0.456534	0.543466	
319000	-7.466911	465	5.057220	3.326218	0.210859	0.789141	
320000	-8.132037	43	2.515183	7.356839	0.130707	0.869293	
321000	-8.258371	126	13.883792	6.048670	0.397217	0.602783	
322000	-8.777255	407	0.715864	2.609140	0.008477	0.991523	
323000	-7.460450	198	7.724267	5.954706	0.318499	0.681501	
324000	-7.691639	310	2.303036	6.535717	0.037167	0.962833	
325000	-8.458272	103	1.754067	5.982276	0.031190	0.968810	
326000	-7.510934	303	4.021284	4.029148	0.203565	0.796435	
327000	-8.564522	34	3.652932	1.522268	0.194460	0.805540	
328000	-8.970684	381	11.661874	3.341383	0.397581	0.602419	
329000	-7.747406	310	5.829040	9.898697	0.189071	0.810929	
330000	-7.583138	240	8.851720	6.692280	0.284398	0.715602	
331000	-8.724474	247	4.309414	2.470496	0.185709	0.814291	
332000	-7.826591	99	6.068122	4.650933	0.247929	0.752071	
333000	-7.715461	194	9.894829	11.435547	0.312135	0.687865	
334000	-8.305597	437	10.299478	16.276893	0.399614	0.600386	
335000	-8.142923	38	3.551191	5.567631	0.140039	0.859961	
336000	-8.179389	436	5.424647	8.774537	0.298278	0.701722	
337000	-7.931644	435	11.088187	7.000092	0.400446	0.599554	
338000	-7.993446	205	9.609346	11.342953	0.368954	0.631046	
339000	-8.190193	255	4.564025	2.111947	0.188542	0.811458	
340000	-7.980200	465	9.672308	2.819820	0.375409	0.624591	
341000	-7.971985	348	3.146670	2.438009	0.057695	0.942305	
342000	-7.682794	102	10.975747	10.382767	0.341489	0.658511	
343000	-8.977430	450	3.246748	1.842247	0.110337	0.889663	
344000	-7.796376	393	8.347141	4.396144	0.288941	0.711059	
345000	-7.981809	85	7.889852	12.170965	0.263032	0.736968	
346000	-8.471405	80	0.716795	3.356150	0.002512	0.997488	
347000	-7.906332	344	14.704189	9.093464	0.376266	0.623734	
348000	-7.601458	429	11.932981	6.318763	0.370074	0.629926	
349000	-8.752497	423	16.859768	12.293787	0.436964	0.563036	
350000	-9.248443	129	14.384616	2.100561	0.429043	0.570957	
351000	-7.927626	223	4.100746	3.508826	0.106160	0.893840	
352000	-8.226294	392	5.840978	7.718807	0.191288	0.808712	
353000	-7.938761	262	6.084865	2.862075	0.266830	0.733170	
354000	-8.194516	268	6.005075	9.980826	0.213939	0.786061	
355000	-7.771270	67	4.462923	5.403444	0.143496	0.856504	
356000	-8.710663	343	16.205883	8.090914	0.466068	0.533932	
357000	-7.598176	497	8.632177	3.763270	0.357316	0.642684	
358000	-8.185406	21	4.448433	9.504179	0.214212	0.785788	
359000	-7.503988	389	12.264755	6.679012	0.301435	0.698565	
360000	-8.968271	174	1.022963	2.884793	0.006798	0.993202	
361000	-8.761024	48	3.111992	11.035164	0.085110	0.914890	
362000	-7.934200	429	9.268148	2.083968	0.401603	0.598397	
363000	-8.337078	299	7.885625	14.363572	0.354357	0.645643	
364000	-8.510355	151	7.468904	2.197688	0.282321	0.717679	
365000	-8.726634	418	11.501866	4.081728	0.344014	0.655986	
366000	-7.873292	165	8.558201	6.658642	0.302250	0.697750	
367000	-7.310729	241	6.040931	6.290527	0.202701	0.797299	
368000	-7.973520	457	7.398944	11.095872	0.251354	0.748646	
369000	-9.011841	311	4.964929	1.747202	0.261621	0.738379	
370000	-7.895451	265	5.691848	9.346323	0.235983	0.764017	
371000	-8.358669	245	2.697152	8.789839	0.078964	0.921036	
372000	-7.670031	369	2.438967	5.082226	0.049575	0.950425	
373000	-7.768827	178	6.448952	1.692374	0.477398	0.522602	
374000	-7.936884	310	9.626017	5.266063	0.313957	0.686043	
375000	-9.433051	151	7.226591	0.811042	0.442796	0.557204	
376000	-7.569759	194	11.107215	8.263896	0.322925	0.677075	
377000	-7.779005	161	6.773466	6.036219	0.295782	0.704218	
378000	-9.108407	338	1.310543	1.848187	0.009459	0.990541	
379000	-8.294719	107	2.633938	7.974886	0.086074	0.913926	
380000	-7.379329	229	5.987048	7.003310	0.212649	0.787351	
381000	-7.633153	336	5.722456	7.664744	0.230995	0.769005	
382000	-7.995080	225	4.210765	2.047463	0.217756	0.782244	
383000	-8.221041	241	6.545915	1.292487	0.313187	0.686813	
384000	-8.795472	365	14.905068	8.458351	0.436612	0.563388	
385000	-7.644969	252	5.780518	7.078571	0.256022	0.743978	
386000	-7.718219	373	10.024546	4.208259	0.345804	0.654196	
387000	-7.623395	4	6.298157	6.491752	0.205704	0.794296	
388000	-8.733224	55	7.808429	1.330560	0.401506	0.598494	
389000	-7.690734	219	7.257066	8.955336	0.258363	0.741637	
390000	-8.680528	224	2.963566	1.777196	0.070869	0.929131	
391000	-8.896846	56	19.002207	17.708835	0.452917	0.547083	
392000	-8.442960	463	6.858908	1.956361	0.451209	0.548791	
393000	-8.579240	395	7.866473	1.918887	0.334726	0.665274	
394000	-7.631555	293	7.200635	7.692317	0.327936	0.672064	
395000	-8.275280	11	2.823929	6.260310	0.074339	0.925661	
396000	-9.635063	166	16.192042	5.440055	0.421585	0.578415	
397000	-7.293506	195	5.888957	6.302731	0.163544	0.836456	
398000	-8.835111	32	7.246043	0.456209	0.778452	0.221548	
399000	-7.478998	447	3.960474	4.976022	0.062299	0.937701	
400000	-8.900027	485	1.460145	4.126854	0.024118	0.975882	
401000	-7.805787	384	4.355003	5.813780	0.139917	0.860083	
402000	-7.135921	189	5.504846	4.492069	0.253583	0.746417	
403000	-8.155977	352	7.976707	3.137730	0.328676	0.671324	
404000	-9.033141	35	1.720282	8.110116	0.034051	0.965949	
405000	-7.701731	349	2.701931	6.880533	0.050337	0.949663	
406000	-8.201849	444	5.900772	10.531076	0.252811	0.747189	
407000	-9.184599	199	26.921978	17.685530	0.495715	0.504285	
408000	-7.982563	413	8.440220	6.971808	0.279942	0.720058	
409000	-7.922843	121	3.874672	8.391861	0.166629	0.833371	
410000	-10.010131	68	0.300595	3.706153	0.000573	0.999427	
411000	-7.796609	307	7.703053	9.301691	0.313654	0.686346	
412000	-9.588675	86	13.285144	28.216314	0.466834	0.533166	
