Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1977399206
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	
6000	-7.597076	18	5.157163	2.738283	0.113125	0.886875	
7000	-8.565818	62	5.749927	1.454863	0.413815	0.586185	
8000	-8.152277	110	5.619586	2.878217	0.283159	0.716841	
9000	-8.523960	343	4.042973	2.522035	0.263483	0.736517	
10000	-8.778250	45	1.460514	7.827155	0.015315	0.984685	
11000	-7.597809	444	5.163507	4.990954	0.181179	0.818821	
12000	-8.013187	180	6.549358	4.073683	0.200592	0.799408	
13000	-8.034604	443	4.210162	2.931364	0.238840	0.761160	
14000	-9.298578	288	15.246203	20.482186	0.483334	0.516666	
15000	-8.125236	357	1.735770	8.022860	0.015602	0.984398	
16000	-7.447323	84	5.763264	3.952770	0.207388	0.792612	
17000	-8.471557	421	0.895878	4.126466	0.009358	0.990642	
18000	-7.953627	212	9.370049	7.302103	0.255723	0.744277	
19000	-7.569721	167	8.392698	9.371113	0.300465	0.699535	
20000	-8.731155	488	16.937869	6.296252	0.466461	0.533539	
21000	-7.520380	482	8.650003	5.702335	0.301661	0.698339	
22000	-8.745611	467	8.526857	1.838694	0.367591	0.632409	
23000	-8.874705	464	16.586040	17.677217	0.421963	0.578037	
24000	-8.257983	192	2.489202	4.653080	0.080747	0.919253	
25000	-8.188494	259	4.112624	6.079947	0.095992	0.904008	
26000	-8.026037	401	6.426203	6.237135	0.233774	0.766226	
27000	-7.798167	172	5.330429	4.877844	0.167695	0.832305	
28000	-8.439425	233	20.474164	15.733851	0.443604	0.556396	
29000	-7.826331	453	4.515735	8.061161	0.120186	0.879814	
30000	-7.384022	89	10.841677	7.929755	0.377633	0.622367	
31000	-8.487940	331	19.683106	9.553258	0.469496	0.530504	
32000	-8.144387	488	14.270045	11.195686	0.458509	0.541491	
33000	-8.863179	30	20.672855	24.144811	0.488849	0.511151	
34000	-7.720519	428	5.046763	12.045441	0.162729	0.837271	
35000	-8.483194	158	5.918782	1.282392	0.330655	0.669345	
36000	-9.137276	133	22.829489	11.261655	0.458538	0.541462	
37000	-7.914361	65	8.841901	4.582961	0.292483	0.707517	
38000	-7.990556	235	6.497165	7.020782	0.312435	0.687565	
39000	-7.595070	2	4.842213	6.534123	0.206283	0.793717	
40000	-8.103378	80	1.267705	5.265471	0.008935	0.991065	
41000	-8.115198	430	5.572083	2.045599	0.368374	0.631626	
42000	-8.231460	9	14.246017	6.679494	0.414272	0.585728	
43000	-8.271118	263	12.575749	6.588770	0.391733	0.608267	
44000	-7.940119	359	3.471518	5.982487	0.165286	0.834714	
45000	-9.288397	9	8.014585	1.177352	0.428922	0.571078	
46000	-8.071260	388	3.617627	2.186398	0.152913	0.847087	
47000	-8.116328	30	13.387136	15.313050	0.448022	0.551978	
48000	-8.065470	322	12.318279	9.758959	0.410225	0.589775	
49000	-7.522728	84	6.293024	3.288044	0.239990	0.760010	
50000	-7.815638	225	7.365773	11.165091	0.351831	0.648169	
51000	-8.488260	119	13.535808	12.491448	0.443249	0.556751	
52000	-8.333793	79	17.153050	22.409311	0.452928	0.547072	
53000	-7.878384	52	3.047280	6.030900	0.094778	0.905222	
54000	-8.927749	15	9.870522	4.382075	0.326873	0.673127	
55000	-8.570239	500	20.906295	7.643032	0.431181	0.568819	
56000	-7.841676	131	8.641636	6.295208	0.264401	0.735599	
57000	-9.762873	271	1.380947	1.015454	0.018534	0.981466	
58000	-8.597160	251	3.916495	3.192257	0.121920	0.878080	
59000	-7.953934	435	4.654232	6.361423	0.192321	0.807679	
60000	-7.882526	47	3.298603	2.603390	0.068879	0.931121	
61000	-8.607165	158	1.086591	6.702432	0.017739	0.982261	
62000	-8.053958	227	3.817834	7.043403	0.131246	0.868754	
63000	-7.941947	104	9.794323	3.795183	0.329217	0.670783	
64000	-8.215352	270	12.248014	17.261862	0.436276	0.563724	
65000	-8.752320	426	20.814958	11.850392	0.457934	0.542066	
66000	-7.617333	86	2.420555	2.786006	0.044296	0.955704	
67000	-9.278917	268	11.209115	2.202125	0.470022	0.529978	
68000	-8.298410	253	8.166791	12.112151	0.283031	0.716969	
69000	-8.812029	133	21.627662	17.108509	0.465774	0.534226	
70000	-8.007749	165	7.958566	4.289936	0.308722	0.691278	
71000	-7.403878	66	7.582950	6.130670	0.226578	0.773422	
72000	-7.821926	481	6.465717	4.473162	0.343378	0.656622	
73000	-7.818491	217	6.112884	5.398729	0.205806	0.794194	
74000	-8.295572	84	1.922958	6.510007	0.035193	0.964807	
75000	-7.593098	47	4.735125	3.447562	0.123823	0.876177	
76000	-8.851413	185	3.155977	4.281976	0.120593	0.879407	
77000	-8.730010	453	15.298266	4.012730	0.414445	0.585555	
78000	-7.688456	54	9.518044	6.767368	0.371524	0.628476	
79000	-8.869146	115	14.082852	23.888926	0.461570	0.538430	
80000	-8.049827	430	11.480607	11.086716	0.453158	0.546842	
81000	-8.789945	146	2.722455	1.497749	0.072276	0.927724	
82000	-7.326021	89	6.327829	6.495423	0.250706	0.749294	
83000	-8.295867	273	9.106283	12.167509	0.371178	0.628822	
84000	-8.496641	372	8.452001	15.687945	0.249947	0.750053	
85000	-8.582360	117	15.607592	4.608046	0.458863	0.541137	
86000	-7.600898	493	4.026403	6.804340	0.152549	0.847451	
87000	-8.024271	263	5.049307	4.246897	0.166276	0.833724	
88000	-7.864209	375	2.881848	5.568541	0.051640	0.948360	
89000	-8.090073	330	4.859449	2.895528	0.228028	0.771972	
90000	-10.444981	231	0.200530	2.988323	0.000838	0.999162	
91000	-8.334219	70	4.147726	8.101787	0.151245	0.848755	
92000	-7.896569	326	2.367326	3.703615	0.031739	0.968261	
93000	-7.777427	40	1.925426	3.100096	0.030662	0.969338	
94000	-8.310580	464	7.035151	7.335165	0.200744	0.799256	
95000	-8.999060	152	7.536776	15.434883	0.321653	0.678347	
96000	-7.880559	58	3.126276	6.870948	0.068668	0.931332	
97000	-7.199475	18	3.552347	5.181420	0.053605	0.946395	
98000	-7.617594	313	3.039024	4.662044	0.047202	0.952798	
99000	-7.669747	493	5.859310	9.023399	0.253734	0.746266	
100000	-8.237089	372	4.817732	4.462868	0.107609	0.892391	
101000	-8.824708	113	7.880019	17.359995	0.324654	0.675346	
102000	-8.526453	123	2.953973	8.676963	0.053326	0.946674	
103000	-8.942875	187	3.814356	14.607696	0.109136	0.890864	
104000	-8.435087	279	9.091748	6.235566	0.358418	0.641582	
105000	-7.902797	314	13.692192	5.273559	0.424757	0.575243	
