Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
823	0.268530	177	0.892655	4.323789	823	0.268530	0.379000	0.355774	
822	0.261557	178	0.848315	4.323789	822	0.261557	0.366000	0.357235	
849	0.257951	151	0.807947	4.323789	849	0.257951	0.341000	0.355206	
818	0.264059	182	0.851648	4.323789	818	0.264059	0.371000	0.356960	
839	0.274136	161	0.826087	4.323789	839	0.274136	0.363000	0.357564	
849	0.288575	151	0.834437	4.323789	849	0.288575	0.371000	0.358786	
834	0.258993	166	0.795181	4.323789	834	0.258993	0.348000	0.357887	
820	0.265854	180	0.844444	4.323789	820	0.265854	0.370000	0.358819	
825	0.280000	175	0.857143	4.323789	825	0.280000	0.381000	0.360403	
845	0.278107	155	0.819355	4.323789	845	0.278107	0.362000	0.360509	
804	0.263682	196	0.770408	4.323789	804	0.263682	0.363000	0.360665	
825	0.259394	175	0.771429	4.323789	825	0.259394	0.349000	0.359979	
835	0.289820	165	0.787879	4.323789	835	0.289820	0.372000	0.360647	
868	0.284562	132	0.772727	4.323789	868	0.284562	0.349000	0.360034	
855	0.287719	145	0.820690	4.323789	855	0.287719	0.365000	0.360282	
819	0.245421	181	0.817680	4.323789	819	0.245421	0.349000	0.359745	
856	0.273364	144	0.819444	4.323789	856	0.273364	0.352000	0.359393	
834	0.268585	166	0.783133	4.323789	834	0.268585	0.354000	0.359158	
834	0.287770	166	0.783133	4.323789	834	0.287770	0.370000	0.359610	
833	0.312125	167	0.790419	4.323789	833	0.312125	0.392000	0.360906	
827	0.278114	173	0.774566	4.323789	827	0.278114	0.364000	0.361025	
841	0.277051	159	0.823899	4.323789	841	0.277051	0.364000	0.361135	
839	0.288439	161	0.782609	4.323789	839	0.288439	0.368000	0.361380	
818	0.256724	182	0.851648	4.323789	818	0.256724	0.365000	0.361505	
840	0.269048	160	0.825000	4.323789	840	0.269048	0.358000	0.361388	
835	0.285030	165	0.812121	4.323789	835	0.285030	0.372000	0.361730	
853	0.233294	147	0.816327	4.323789	853	0.233294	0.319000	0.360395	
859	0.250291	141	0.829787	4.323789	859	0.250291	0.332000	0.359535	
869	0.266974	131	0.839695	4.323789	869	0.266974	0.342000	0.359019	
857	0.260210	143	0.804196	4.323789	857	0.260210	0.338000	0.358418	
829	0.288299	171	0.719298	4.323789	829	0.288299	0.362000	0.358518	
835	0.276647	165	0.763636	4.323789	835	0.276647	0.357000	0.358477	
825	0.256970	175	0.777143	4.323789	825	0.256970	0.348000	0.358201	
825	0.286061	175	0.868571	4.323789	825	0.286061	0.388000	0.358965	
850	0.235294	150	0.720000	4.323789	850	0.235294	0.308000	0.357691	
824	0.293689	176	0.789773	4.323789	824	0.293689	0.381000	0.358260	
817	0.269278	183	0.786885	4.323789	817	0.269278	0.364000	0.358396	
826	0.255448	174	0.793103	4.323789	826	0.255448	0.349000	0.358178	
811	0.303329	189	0.804233	4.323789	811	0.303329	0.398000	0.359083	
856	0.283879	144	0.756944	4.323789	856	0.283879	0.352000	0.358925	
827	0.280532	173	0.826590	4.323789	827	0.280532	0.375000	0.359275	
848	0.275943	152	0.789474	4.323789	848	0.275943	0.354000	0.359163	
835	0.300599	165	0.763636	4.323789	835	0.300599	0.377000	0.359534	
843	0.232503	157	0.770701	4.323789	843	0.232503	0.317000	0.358666	
846	0.314421	154	0.876623	4.323789	846	0.314421	0.401000	0.359513	
830	0.278313	170	0.876471	4.323789	830	0.278313	0.380000	0.359915	
827	0.259976	173	0.797688	4.323789	827	0.259976	0.353000	0.359782	
831	0.306859	169	0.852071	4.323789	831	0.306859	0.399000	0.360521	
851	0.265570	149	0.825503	4.323789	851	0.265570	0.349000	0.360308	
829	0.278649	171	0.847953	4.323789	829	0.278649	0.376000	0.360593	
862	0.259861	138	0.789855	4.323789	862	0.259861	0.333000	0.360101	
849	0.293286	151	0.794702	4.323789	849	0.293286	0.369000	0.360257	
840	0.267857	160	0.787500	4.323789	840	0.267857	0.351000	0.360097	
840	0.292857	160	0.806250	4.323789	840	0.292857	0.375000	0.360350	
