Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_reduction_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2519532377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   Artiodactyl_reduction_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    qDG                          RJ MCMC
    qGD                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qDG	qGD	Root P(D)	Root P(G)	RJRates - Mean	
62000	-7.218391	283	1	0	'0 0 	6.110848	6.110848	0.186632	0.813368	18.391706	
63000	-8.483953	38	1	0	'0 0 	3.023512	3.023512	0.106244	0.893756	23.009309	
64000	-8.855973	476	1	0	'0 0 	21.463003	21.463003	0.436399	0.563601	32.625781	
65000	-9.701667	325	1	0	'0 0 	36.251659	36.251659	0.499761	0.500239	58.488388	
66000	-10.374140	121	1	0	'0 0 	94.971252	94.971252	0.500000	0.500000	62.140540	
67000	-7.787262	65	1	0	'0 0 	7.450900	7.450900	0.247069	0.752931	32.062096	
68000	-7.228964	283	1	0	'0 0 	5.142319	5.142319	0.145253	0.854747	19.849649	
69000	-9.526998	403	1	0	'0 0 	24.751792	24.751792	0.497676	0.502324	22.110031	
70000	-7.685328	73	1	0	'0 0 	4.060736	4.060736	0.112062	0.887938	13.622214	
71000	-8.490412	8	1	0	'0 0 	16.380361	16.380361	0.479684	0.520316	7.139191	
72000	-7.787435	208	1	0	'0 0 	6.372161	6.372161	0.300842	0.699158	6.202146	
73000	-7.784297	483	1	0	'0 0 	6.456682	6.456682	0.179049	0.820951	10.373896	
74000	-7.817785	329	1	0	'0 0 	5.188381	5.188381	0.224951	0.775049	24.254677	
75000	-8.586016	26	1	0	'0 0 	2.265497	2.265497	0.045765	0.954235	12.544899	
76000	-8.239140	393	1	0	'0 0 	2.533670	2.533670	0.055763	0.944237	8.307795	
77000	-7.815058	69	1	0	'0 0 	6.594320	6.594320	0.221283	0.778717	3.989028	
78000	-7.436352	296	1	0	'0 0 	8.756552	8.756552	0.333530	0.666470	3.954803	
79000	-8.136342	190	1	0	'0 0 	17.675684	17.675684	0.444472	0.555528	16.287547	
80000	-7.914135	37	1	0	'0 0 	9.156780	9.156780	0.310612	0.689388	14.650344	
81000	-7.607181	352	1	0	'0 0 	4.840913	4.840913	0.209753	0.790247	18.591641	
82000	-8.021377	182	1	0	'0 0 	9.438093	9.438093	0.415513	0.584487	37.316944	
83000	-7.914456	94	1	0	'0 0 	12.277160	12.277160	0.362920	0.637080	39.670969	
84000	-8.144505	61	1	0	'0 0 	7.940154	7.940154	0.214422	0.785578	40.152983	
85000	-8.644060	378	1	0	'0 0 	23.079053	23.079053	0.474301	0.525699	63.061999	
86000	-7.576101	178	1	0	'0 0 	11.492182	11.492182	0.410526	0.589474	35.286471	
87000	-7.502129	489	1	0	'0 0 	5.666259	5.666259	0.233099	0.766901	17.903132	
88000	-7.115401	145	1	0	'0 0 	5.490852	5.490852	0.185170	0.814830	7.597121	
89000	-8.296060	228	1	0	'0 0 	8.424284	8.424284	0.342085	0.657915	6.184585	
90000	-7.960536	199	1	0	'0 0 	12.073812	12.073812	0.445055	0.554945	12.505998	
91000	-7.905687	236	1	0	'0 0 	8.877560	8.877560	0.350053	0.649947	3.338254	
92000	-7.484325	497	1	0	'0 0 	9.234978	9.234978	0.363804	0.636196	5.795501	
93000	-10.896555	188	1	1	'0 Z 	8.000391	0.000000	1.000000	0.000000	15.864523	
94000	-9.854293	153	1	0	'0 0 	35.171257	35.171257	0.499383	0.500617	40.878918	
95000	-8.206180	104	1	0	'0 0 	16.740924	16.740924	0.428026	0.571974	37.691498	
96000	-7.469850	2	1	0	'0 0 	5.586422	5.586422	0.236306	0.763694	39.519532	
97000	-7.913908	437	1	0	'0 0 	11.298233	11.298233	0.393177	0.606823	22.962719	
98000	-8.760827	59	1	0	'0 0 	22.192347	22.192347	0.482097	0.517903	17.121736	
99000	-8.453913	284	1	0	'0 0 	2.412675	2.412675	0.057418	0.942582	4.308119	
100000	-8.982459	459	1	0	'0 0 	18.877449	18.877449	0.480832	0.519168	20.854363	
101000	-7.707552	493	1	0	'0 0 	10.702276	10.702276	0.390887	0.609113	18.963934	
102000	-7.586654	465	1	0	'0 0 	8.860213	8.860213	0.351986	0.648014	5.956089	
103000	-8.272595	243	1	0	'0 0 	15.308181	15.308181	0.478722	0.521278	31.384954	
104000	-8.010702	59	1	0	'0 0 	14.706396	14.706396	0.432950	0.567050	28.201189	
105000	-7.684390	67	1	0	'0 0 	6.420715	6.420715	0.232589	0.767411	28.813397	
106000	-7.734839	342	1	0	'0 0 	15.751923	15.751923	0.463908	0.536092	40.623989	
107000	-7.808565	104	1	0	'0 0 	10.330170	10.330170	0.322207	0.677793	6.611347	
108000	-8.741153	377	1	0	'0 0 	18.129232	18.129232	0.465030	0.534970	8.238403	
109000	-7.730236	222	1	0	'0 0 	7.523925	7.523925	0.230941	0.769059	1.741719	
110000	-7.802179	438	1	0	'0 0 	8.626531	8.626531	0.286708	0.713292	28.751790	
111000	-7.633543	132	1	0	'0 0 	10.092770	10.092770	0.332354	0.667646	24.526329	
112000	-7.661138	252	1	0	'0 0 	7.821485	7.821485	0.331368	0.668632	40.472431	
113000	-7.803366	272	1	0	'0 0 	7.316438	7.316438	0.294784	0.705216	50.637930	
114000	-10.185672	212	1	0	'0 0 	45.315435	45.315435	0.498475	0.501525	49.932605	
115000	-9.281687	152	1	0	'0 0 	25.429268	25.429268	0.487951	0.512049	64.743092	
116000	-8.389854	336	1	0	'0 0 	16.594803	16.594803	0.459839	0.540161	46.700672	
117000	-9.149438	209	1	0	'0 0 	30.297667	30.297667	0.492236	0.507764	37.505200	
118000	-7.697446	243	1	0	'0 0 	3.000648	3.000648	0.132765	0.867235	27.872002	
119000	-8.068383	149	1	0	'0 0 	4.080784	4.080784	0.065150	0.934850	29.508589	
120000	-8.418750	381	1	0	'0 0 	11.330370	11.330370	0.404347	0.595653	37.601393	
121000	-7.564987	56	1	0	'0 0 	6.957139	6.957139	0.220550	0.779450	18.826120	
122000	-10.647984	459	1	0	'0 0 	95.483278	95.483278	0.500000	0.500000	39.714730	
123000	-10.381625	360	1	0	'0 0 	0.865129	0.865129	0.004074	0.995926	25.533826	
124000	-7.786255	396	1	0	'0 0 	6.826113	6.826113	0.322172	0.677828	33.654681	
125000	-8.792481	198	1	0	'0 0 	1.447416	1.447416	0.024334	0.975666	47.189701	
126000	-9.178056	90	1	0	'0 0 	23.767683	23.767683	0.489389	0.510611	55.662177	
127000	-9.214414	291	1	0	'0 0 	29.718112	29.718112	0.495069	0.504931	36.854398	
128000	-8.095166	20	1	0	'0 0 	13.213446	13.213446	0.403796	0.596204	21.908059	
129000	-7.399628	178	1	0	'0 0 	3.967230	3.967230	0.175370	0.824630	32.861490	
130000	-7.928595	120	1	0	'0 0 	4.948425	4.948425	0.250879	0.749121	51.567707	
131000	-8.060850	227	1	0	'0 0 	10.138547	10.138547	0.368129	0.631871	29.615603	
132000	-8.094152	217	1	0	'0 0 	10.592351	10.592351	0.359101	0.640899	20.881218	
133000	-7.780277	272	1	0	'0 0 	5.615934	5.615934	0.224028	0.775972	3.508146	
134000	-7.471346	167	1	0	'0 0 	5.488388	5.488388	0.176553	0.823447	22.007844	
135000	-7.694426	352	1	0	'0 0 	3.136637	3.136637	0.108703	0.891297	27.540960	
136000	-8.262206	459	1	0	'0 0 	10.851210	10.851210	0.404858	0.595142	22.281919	
137000	-8.022770	24	1	0	'0 0 	4.288660	4.288660	0.193358	0.806642	30.480626	
138000	-7.759966	20	1	0	'0 0 	8.806993	8.806993	0.302941	0.697059	55.842071	
139000	-7.929114	113	1	0	'0 0 	10.008172	10.008172	0.322398	0.677602	64.911339	
140000	-8.430561	375	1	0	'0 0 	2.143578	2.143578	0.027932	0.972068	68.488396	
141000	-7.435280	350	1	0	'0 0 	5.401644	5.401644	0.248298	0.751702	67.782648	
142000	-8.034113	347	1	0	'0 0 	7.363161	7.363161	0.314256	0.685744	46.384935	
143000	-9.370605	378	1	0	'0 0 	36.456132	36.456132	0.495929	0.504071	46.777924	
144000	-8.502960	463	1	0	'0 0 	12.040630	12.040630	0.407038	0.592962	43.293298	
145000	-7.681312	25	1	0	'0 0 	8.905722	8.905722	0.295784	0.704216	45.311830	
146000	-9.275428	399	1	0	'0 0 	27.508524	27.508524	0.487233	0.512767	54.024337	
147000	-7.808108	39	1	0	'0 0 	9.350206	9.350206	0.333343	0.666657	55.473231	
148000	-8.180477	309	1	0	'0 0 	3.081360	3.081360	0.064377	0.935623	65.012763	
149000	-9.236195	161	1	0	'0 0 	21.294209	21.294209	0.490077	0.509923	42.852406	
150000	-8.887616	7	1	0	'0 0 	19.355959	19.355959	0.484259	0.515741	43.583207	
151000	-8.090290	207	1	0	'0 0 	2.322134	2.322134	0.050088	0.949912	41.057064	
152000	-9.135359	68	1	0	'0 0 	27.517415	27.517415	0.488572	0.511428	50.974027	
153000	-10.458175	70	1	0	'0 0 	77.307484	77.307484	0.499999	0.500001	69.854492	
154000	-8.005630	26	1	0	'0 0 	13.200976	13.200976	0.425087	0.574913	72.188011	
155000	-7.853606	94	1	0	'0 0 	4.972529	4.972529	0.128996	0.871004	79.365135	
